index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,35,18,17
2,candle,67,52,42
3,candle,42,53,76
4,beer,39,47,57
5,candle,51,34,4
6,beer,68,83,93
7,beer,32,16,1
8,circular_progressbar,97,92,87
9,candle,63,34,96
10,tree_growth,10,8,1
11,ripple_wave,61,37,14
12,beer,37,53,62
13,tree_growth,1,6,10
14,flower,89,95,99
15,beer,96,81,66
16,tree_growth,51,39,16
17,ripple_wave,61,35,15
18,tree_growth,77,61,32
19,ripple_wave,100,67,58
20,beer,1,5,11
21,sun,94,45,77
22,circular_progressbar,74,87,95
23,circular_progressbar,25,19,13
24,circular_progressbar,31,26,5
25,beer,28,29,39
26,candle,48,44,59
27,beer,67,57,46
28,circular_progressbar,83,89,94
29,beer,93,77,64
30,beer,74,82,91
