index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,16,17,62
2,tree_growth,67,71,96
3,sun,21,30,52
4,candle,70,57,43
5,flower,13,21,25
6,ripple_wave,99,85,65
7,beer,81,60,45
8,ripple_wave,99,85,100
9,ripple_wave,38,77,86
10,sun,98,89,77
11,tree_growth,98,98,100
12,beer,70,73,91
13,candle,36,41,49
14,flower,37,30,9
15,beer,71,50,25
16,ripple_wave,40,33,25
17,circular_progressbar,63,41,18
18,beer,35,64,83
19,candle,100,99,97
20,ripple_wave,55,70,79
21,circular_progressbar,60,37,12
22,circular_progressbar,66,77,86
23,sun,3,17,30
24,flower,84,89,97
25,beer,65,51,19
26,candle,70,43,25
27,flower,54,40,25
28,circular_progressbar,8,5,1
29,beer,80,57,38
30,sun,55,28,22
31,sun,84,77,61
32,tree_growth,1,5,7
33,candle,19,36,59
34,candle,88,31,78
35,flower,66,60,46
36,ripple_wave,79,80,61
37,ripple_wave,100,93,92
38,tree_growth,6,13,17
39,ripple_wave,43,37,27
40,circular_progressbar,44,50,57
41,beer,62,56,48
42,beer,65,67,77
43,beer,84,72,62
44,flower,20,40,43
45,ripple_wave,76,87,94
46,tree_growth,23,35,47
47,flower,53,60,66
48,candle,37,38,62
