index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,67,76,95
2,beer,90,84,78
3,tree_growth,1,7,11
4,sun,35,52,57
5,tree_growth,65,45,29
6,flower,33,52,66
7,flower,92,77,64
8,beer,87,81,67
9,beer,67,44,24
10,candle,74,65,49
11,circular_progressbar,76,57,49
12,tree_growth,43,80,88
13,ripple_wave,52,40,31
14,tree_growth,29,46,54
15,circular_progressbar,32,13,6
16,flower,1,4,12
17,circular_progressbar,42,62,90
18,flower,56,37,13
19,ripple_wave,60,66,70
20,sun,95,98,100
21,ripple_wave,26,22,14
22,circular_progressbar,54,25,9
23,beer,34,22,15
24,flower,68,83,100
25,circular_progressbar,27,18,11
26,beer,37,63,76
27,sun,10,7,1
28,tree_growth,92,96,100
29,tree_growth,34,27,24
30,candle,17,28,37
31,beer,67,51,36
32,sun,97,92,81
33,ripple_wave,60,44,37
34,ripple_wave,83,69,47
35,flower,100,98,94
36,candle,52,39,26
37,tree_growth,42,29,7
38,tree_growth,83,73,66
39,beer,51,43,31
40,candle,90,71,48
41,flower,45,79,87
42,candle,34,24,6
43,beer,68,83,97
44,sun,15,7,1
45,tree_growth,66,80,83
46,flower,16,11,6
47,circular_progressbar,47,62,87
48,flower,12,6,1
49,candle,76,71,94
50,candle,10,23,32
51,candle,42,34,19
52,sun,90,77,58
53,beer,100,97,96
54,flower,87,91,97
55,ripple_wave,64,49,30
56,beer,62,82,98
57,beer,58,88,98
58,ripple_wave,79,73,69
59,tree_growth,99,99,100
60,ripple_wave,3,2,1
61,sun,12,17,22
62,candle,100,97,95
63,sun,55,21,10
64,tree_growth,33,66,80
65,flower,26,55,71
66,flower,74,82,92
67,candle,30,22,10
68,sun,22,13,2
69,tree_growth,62,68,75
70,circular_progressbar,10,21,37
71,tree_growth,1,6,11
72,circular_progressbar,76,88,99
73,beer,21,14,10
74,ripple_wave,29,43,54
75,sun,50,59,62
76,candle,93,71,79
77,ripple_wave,46,42,35
78,candle,13,8,2
79,ripple_wave,36,55,84
80,tree_growth,31,44,57
81,candle,18,14,4
82,ripple_wave,50,66,90
83,circular_progressbar,87,78,71
84,beer,45,70,85
85,sun,1,5,6
86,flower,21,23,31
87,candle,8,21,27
88,tree_growth,48,76,96
89,flower,73,83,87
90,sun,89,75,43
91,circular_progressbar,32,43,54
92,circular_progressbar,92,85,78
93,tree_growth,64,45,32
94,beer,16,8,3
95,candle,81,31,35
96,sun,20,27,35
97,sun,12,21,39
98,candle,34,39,48
99,ripple_wave,7,23,32
100,ripple_wave,92,80,50
101,sun,41,25,18
102,sun,41,35,30
103,circular_progressbar,80,68,47
104,sun,94,88,78
105,ripple_wave,59,45,32
106,flower,98,77,53
107,ripple_wave,1,6,8
108,beer,5,8,19
109,sun,12,22,40
110,tree_growth,25,38,48
111,ripple_wave,75,62,48
112,flower,15,31,49
113,ripple_wave,52,62,73
114,tree_growth,100,95,91
115,flower,92,84,78
116,beer,35,28,21
117,circular_progressbar,47,62,80
118,flower,34,64,76
119,circular_progressbar,45,25,7
120,candle,6,29,45
121,circular_progressbar,70,50,28
122,circular_progressbar,47,62,79
123,candle,1,2,6
124,circular_progressbar,10,30,51
125,flower,14,25,30
126,sun,34,24,17
127,circular_progressbar,31,21,13
128,ripple_wave,20,29,46
129,candle,94,72,48
130,candle,92,58,78
131,ripple_wave,64,77,99
132,circular_progressbar,76,67,57
133,beer,45,72,93
134,circular_progressbar,71,85,96
135,beer,74,68,57
136,tree_growth,38,55,65
137,beer,77,64,46
138,sun,56,70,75
139,beer,41,55,63
140,flower,100,100,96
