index,glyph_type,sizeA,sizeB,sizeC
1,circular_progressbar,97,98,100
2,ripple_wave,54,28,15
3,beer,92,90,80
4,flower,11,5,1
5,ripple_wave,2,8,13
6,tree_growth,44,34,12
7,ripple_wave,56,76,96
8,circular_progressbar,50,64,77
9,beer,9,17,34
10,flower,18,37,54
11,sun,26,31,40
12,beer,80,89,93
13,circular_progressbar,17,36,65
14,ripple_wave,3,2,1
15,beer,97,84,74
16,sun,81,75,39
17,beer,10,25,32
18,sun,26,48,64
19,sun,94,98,100
20,tree_growth,9,5,1
21,candle,1,4,7
22,candle,26,13,3
23,tree_growth,26,59,72
24,circular_progressbar,75,86,97
25,circular_progressbar,39,31,26
