index,glyph_type,sizeA,sizeB,sizeC
1,sun,87,92,97
2,tree_growth,97,93,87
3,flower,3,2,1
4,flower,26,32,44
5,candle,96,90,85
6,tree_growth,98,93,84
7,circular_progressbar,88,81,78
8,ripple_wave,37,27,8
9,flower,98,87,75
10,ripple_wave,57,63,69
11,sun,77,67,54
12,tree_growth,86,77,74
13,candle,72,80,89
14,sun,33,16,12
15,sun,63,69,75
16,ripple_wave,45,33,8
17,beer,8,24,43
18,beer,60,33,15
19,candle,17,2,7
20,sun,59,48,43
21,sun,18,23,28
22,beer,18,22,29
23,flower,32,36,50
24,ripple_wave,33,40,48
25,beer,34,40,48
26,circular_progressbar,50,70,96
27,candle,63,42,34
28,candle,60,35,15
29,circular_progressbar,35,29,23
30,flower,56,74,100
31,tree_growth,6,33,46
32,flower,85,89,96
33,candle,42,48,74
34,flower,90,66,41
35,candle,64,45,36
36,flower,69,82,97
37,ripple_wave,95,76,67
