index,glyph_type,sizeA,sizeB,sizeC
1,flower,26,12,6
2,candle,18,34,58
3,beer,81,60,40
4,sun,45,54,58
5,tree_growth,3,25,37
6,sun,69,24,19
7,candle,28,32,17
8,sun,53,46,36
9,tree_growth,75,68,50
10,tree_growth,11,18,25
11,tree_growth,100,93,86
12,sun,97,79,54
13,flower,77,87,92
14,tree_growth,59,43,18
15,sun,2,17,41
16,sun,19,10,1
17,ripple_wave,94,85,80
18,flower,4,36,47
19,circular_progressbar,89,75,67
20,tree_growth,78,88,99
21,candle,15,42,60
22,flower,1,3,3
23,candle,56,36,23
24,flower,84,87,94
25,circular_progressbar,87,74,59
26,tree_growth,94,73,50
27,tree_growth,90,71,67
28,sun,66,48,33
29,ripple_wave,53,63,68
30,circular_progressbar,58,29,8
31,circular_progressbar,54,46,38
32,sun,84,88,95
33,tree_growth,2,10,14
34,tree_growth,64,54,35
35,flower,63,74,88
