index,glyph_type,sizeA,sizeB,sizeC
1,flower,1,5,9
2,candle,40,24,4
3,candle,13,5,1
4,tree_growth,2,30,48
5,ripple_wave,90,96,100
6,tree_growth,41,69,76
7,flower,11,35,60
8,ripple_wave,86,95,98
9,beer,87,69,46
10,sun,49,20,1
11,tree_growth,27,16,6
12,ripple_wave,20,26,39
13,circular_progressbar,51,63,80
14,ripple_wave,84,65,34
15,beer,3,12,23
16,flower,47,65,80
17,ripple_wave,59,66,83
18,flower,72,64,56
19,sun,40,78,89
20,circular_progressbar,16,21,26
21,flower,24,31,36
22,beer,32,23,13
23,tree_growth,68,73,82
24,sun,91,82,67
25,flower,5,23,35
26,flower,33,43,66
27,beer,19,15,9
28,ripple_wave,15,19,33
29,candle,39,31,20
30,beer,48,67,83
31,candle,45,71,89
32,circular_progressbar,60,41,20
33,sun,47,18,1
34,candle,34,44,56
35,tree_growth,73,68,59
36,beer,1,2,3
37,candle,36,53,70
38,sun,46,29,24
39,tree_growth,14,9,2
40,circular_progressbar,100,98,97
41,flower,92,73,49
42,circular_progressbar,35,46,56
43,flower,29,21,12
44,tree_growth,2,16,21
45,beer,12,6,1
46,sun,46,69,81
47,sun,55,21,6
48,tree_growth,9,19,54
49,beer,37,67,87
50,circular_progressbar,90,82,75
51,flower,88,94,100
52,beer,9,26,40
53,circular_progressbar,32,24,15
54,candle,25,19,15
55,sun,15,36,54
56,flower,6,25,37
57,beer,86,92,98
58,ripple_wave,18,10,2
59,beer,46,36,4
60,ripple_wave,27,22,7
61,candle,73,79,86
62,flower,43,30,20
63,beer,8,35,57
64,flower,23,44,64
65,sun,17,34,55
66,sun,42,26,22
67,tree_growth,3,7,13
68,flower,66,33,21
69,tree_growth,1,3,4
70,flower,64,53,45
71,tree_growth,5,10,16
72,circular_progressbar,99,91,81
73,sun,18,25,30
74,circular_progressbar,96,97,100
75,circular_progressbar,69,75,82
76,ripple_wave,34,29,22
77,candle,14,28,48
78,circular_progressbar,52,35,14
79,candle,47,49,58
80,circular_progressbar,86,72,60
81,ripple_wave,78,85,91
82,beer,48,66,86
83,circular_progressbar,75,56,29
84,tree_growth,77,72,59
85,beer,100,99,99
86,beer,33,25,19
87,ripple_wave,6,25,50
88,tree_growth,46,74,96
89,sun,30,17,9
90,candle,72,63,54
91,sun,82,92,98
92,sun,81,86,91
93,ripple_wave,65,73,86
94,circular_progressbar,25,20,10
95,tree_growth,1,8,14
96,sun,33,19,13
97,flower,1,2,2
98,candle,75,68,60
99,ripple_wave,1,2,5
100,candle,96,90,86
101,tree_growth,97,88,80
102,candle,11,42,57
103,candle,45,61,78
104,sun,50,73,89
105,tree_growth,60,39,16
106,flower,9,29,57
107,sun,50,15,4
108,tree_growth,80,75,63
109,circular_progressbar,37,57,67
110,beer,95,85,69
111,circular_progressbar,32,59,81
112,candle,62,72,20
113,beer,78,63,28
114,circular_progressbar,47,38,24
115,sun,46,58,70
116,tree_growth,97,91,85
117,candle,93,76,71
118,ripple_wave,95,79,53
119,beer,73,83,95
120,ripple_wave,70,48,29
121,ripple_wave,48,63,76
122,ripple_wave,71,61,48
123,beer,39,58,76
124,sun,64,86,100
125,tree_growth,96,81,76
126,candle,71,78,89
127,circular_progressbar,75,83,91
128,tree_growth,1,3,7
129,circular_progressbar,53,39,23
130,candle,50,44,27
131,ripple_wave,3,10,19
132,flower,88,94,100
133,flower,69,48,24
134,ripple_wave,56,68,95
135,flower,26,29,36
136,circular_progressbar,94,88,84
137,sun,17,37,66
138,candle,80,70,96
139,beer,92,96,100
140,ripple_wave,83,87,94
