file,n_trials,range_invalid_rate,between_violation_rate,edge_rate,kept
db82cca2-27d6-4f1f-a85b-bb31ff3c776d.csv,4,0.0,0.0,0.0,True
7cd61d5b-7e4b-4de6-9cf7-a094b215ca0c.csv,31,0.0,0.129,0.0,True
7261c239-82d4-4f20-9fd6-57b428018b8e.csv,12,0.0,0.0,0.083,True
baf0aa01-ebdd-461d-9140-8de6d796cebf.csv,8,0.0,0.75,0.625,False
783748b0-e5af-426f-af67-6c34f26bd2b7.csv,9,0.0,0.0,0.0,True
5881a987-4a5a-4a8c-bea0-f4fd41e3aaa1.csv,25,0.0,0.0,0.0,True
8b53e19d-dced-4637-9967-923878c14102.csv,140,0.0,0.014,0.014,True
5808dd81-f0f1-46e9-87e1-14acbd8d55eb.csv,6,0.0,0.0,0.0,True
cd6e9d08-0e65-466b-b40f-18d34f683aed.csv,10,0.0,0.0,0.0,True
5c39c151-d1b6-46be-870d-5cccf49acffb.csv,12,0.0,0.083,0.083,True
20a7c77e-d891-4732-b936-e45a8b8a2d89.csv,48,0.0,0.042,0.0,True
01adbbbf-f26a-4c92-9e2d-5b798d3511cc.csv,30,0.0,0.067,0.0,True
d6007b4e-6fd0-4fb8-97c8-bd638decba30.csv,99,0.0,0.677,0.03,True
29bf3167-83ec-46a6-a960-df599ba9d5f6.csv,17,0.0,0.118,0.176,True
41195280-e2b6-4840-baea-f90c1f4a24ac.csv,7,0.0,0.143,0.0,True
5e74f70e-14bf-49b8-9f4b-7dd1fc12139a.csv,140,0.0,0.014,0.0,True
2bbc308b-5b93-41d1-8db1-db06b35b6469.csv,15,0.0,0.667,0.2,True
f10d9ccb-56b8-40c1-ba51-0f88605d1d3b.csv,52,0.0,0.0,0.019,True
60f53d88-dff0-4488-948a-99e59a8aa6a8.csv,14,0.0,0.0,0.0,True
b5f8f4e1-46df-4bbb-8c06-b7fb75e51c07.csv,25,0.0,0.0,0.0,True
4d9b8c59-f876-4ad1-be5d-a2f8d41e815b.csv,140,0.0,0.014,0.007,True
97d2307b-62cd-445c-9cec-1fe747ad1c80.csv,37,0.0,0.0,0.0,True
957e9302-e6be-4156-9ebd-d8bf91be4dc0.csv,3,0.0,0.667,0.0,True
f7e833b2-def7-4aaa-bfce-6b3ff5021c38.csv,9,0.0,0.0,0.111,True
1ad7a07d-b29e-4cc1-8436-3ae47bc62ef4.csv,4,0.0,0.5,0.0,True
e1f379a0-58ff-457d-af9f-5011a45ac715.csv,140,0.0,0.014,0.0,True
df5b01ba-5b70-471f-b449-6292373ff67c.csv,4,0.0,0.25,0.25,True
7fc75f8d-4f4e-4589-b5af-763847bbd879.csv,2,0.0,0.0,0.0,True
b8e2b632-b68d-4a73-999d-d7541e5e27a0.csv,10,0.0,0.7,0.4,False
38f45535-4c87-4e56-adfd-adc0825092dd.csv,140,0.0,0.007,0.014,True
66918a86-b9cd-4091-821f-b89022d93601.csv,7,0.0,0.143,0.0,True
c4b3f226-a75b-4a08-9cdf-eb54b233da83.csv,35,0.0,0.0,0.0,True
0ec51fe2-9cf4-4468-8175-07163ce06c3b.csv,69,0.0,0.0,0.0,True
2b2149e8-d67c-4f48-a08b-d9a3a87d6c12.csv,6,0.0,0.167,0.0,True
6b841822-db63-4e3d-b5c9-561c9728d1f4.csv,5,0.0,0.2,0.0,True
7435241f-93e3-4db6-b238-8ca66603dd0a.csv,140,0.0,0.071,0.007,True
34617a48-cd55-4e03-bc1c-6cae09e91437.csv,140,0.0,0.036,0.007,True
0eacca0c-690d-4fb8-b8bf-d39f2ce70853.csv,2,0.0,0.5,1.0,False
