index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,19,16,7
2,beer,97,87,82
3,circular_progressbar,65,41,16
4,ripple_wave,13,9,1
5,circular_progressbar,99,92,84
6,tree_growth,81,76,70
7,candle,71,77,24
8,beer,29,21,14
9,circular_progressbar,100,98,95
10,flower,88,90,98
11,circular_progressbar,61,71,85
12,candle,62,56,40
13,tree_growth,58,69,74
14,sun,40,30,22
15,sun,48,69,83
16,tree_growth,1,7,10
17,ripple_wave,44,37,32
18,flower,46,58,70
19,ripple_wave,98,99,100
20,ripple_wave,15,30,49
21,candle,100,96,92
22,flower,80,75,62
23,sun,81,76,69
24,circular_progressbar,40,50,65
25,candle,31,44,50
26,ripple_wave,56,75,98
27,tree_growth,53,70,94
