index,glyph_type,sizeA,sizeB,sizeC
1,ripple_wave,99,69,58
2,flower,67,33,18
3,circular_progressbar,90,83,78
4,ripple_wave,100,95,96
5,circular_progressbar,14,24,44
6,candle,97,82,64
7,candle,5,3,1
8,circular_progressbar,46,29,4
9,sun,9,27,53
10,beer,71,54,38
11,candle,22,29,40
12,ripple_wave,44,29,17
13,beer,98,79,59
14,circular_progressbar,47,79,96
15,beer,1,20,36
16,beer,29,34,41
17,sun,18,36,67
18,candle,86,93,98
19,beer,77,89,95
20,flower,77,84,94
21,flower,58,75,100
22,ripple_wave,85,65,38
23,sun,41,56,67
24,beer,41,56,66
25,flower,100,94,90
26,ripple_wave,55,42,34
27,flower,82,72,53
28,ripple_wave,68,48,18
29,tree_growth,18,30,35
30,sun,52,45,41
31,flower,24,48,58
32,ripple_wave,78,51,30
33,candle,68,82,93
34,tree_growth,27,20,11
35,candle,57,49,44
36,beer,17,9,1
37,flower,27,23,17
38,beer,86,75,67
39,sun,30,26,20
40,tree_growth,57,40,25
41,circular_progressbar,64,47,36
42,ripple_wave,59,47,41
43,sun,96,87,80
44,sun,100,97,93
45,tree_growth,52,40,18
46,tree_growth,28,50,71
47,ripple_wave,63,88,99
48,circular_progressbar,30,19,5
49,tree_growth,81,68,37
50,tree_growth,89,95,100
51,ripple_wave,2,23,30
52,ripple_wave,93,82,72
53,sun,45,77,91
54,circular_progressbar,93,86,79
55,candle,49,57,66
56,sun,30,40,55
57,beer,88,95,99
58,beer,44,30,4
59,tree_growth,24,18,2
60,flower,55,43,34
61,tree_growth,35,39,55
62,flower,33,39,48
63,beer,51,58,67
64,ripple_wave,59,86,97
65,circular_progressbar,70,63,58
66,flower,46,39,29
67,candle,48,75,88
68,circular_progressbar,89,93,100
69,beer,59,72,78
