index,glyph_type,sizeA,sizeB,sizeC
1,flower,35,51,61
2,ripple_wave,7,28,24
3,flower,46,42,36
4,ripple_wave,38,43,28
5,tree_growth,9,6,1
6,candle,94,71,82
7,circular_progressbar,73,55,34
8,flower,25,16,3
9,beer,7,16,27
10,ripple_wave,94,87,100
11,candle,67,52,44
12,flower,41,38,26
13,tree_growth,38,35,26
14,ripple_wave,46,41,33
15,sun,9,6,1
16,tree_growth,65,38,19
17,sun,66,48,33
18,tree_growth,95,97,100
19,candle,39,28,13
20,ripple_wave,29,21,6
21,tree_growth,15,20,27
22,tree_growth,55,76,86
23,ripple_wave,1,29,46
24,beer,64,72,85
25,beer,19,30,39
26,tree_growth,98,99,100
27,beer,2,7,12
28,sun,71,76,81
29,flower,74,83,98
30,circular_progressbar,1,5,10
31,sun,35,17,7
32,beer,8,17,26
33,candle,43,31,17
34,tree_growth,84,88,97
35,sun,15,10,2
36,beer,78,85,91
37,flower,48,28,20
38,candle,31,19,8
39,sun,3,12,20
40,circular_progressbar,65,78,90
41,circular_progressbar,73,59,42
42,flower,90,85,80
43,candle,65,59,76
44,ripple_wave,25,43,68
45,candle,91,71,80
46,sun,26,52,74
47,candle,96,99,100
48,sun,67,48,32
49,candle,60,65,74
50,flower,36,24,14
51,ripple_wave,66,39,17
52,ripple_wave,69,39,26
53,flower,22,39,60
54,circular_progressbar,100,99,98
55,circular_progressbar,86,64,45
56,candle,74,75,50
57,candle,74,77,34
58,sun,6,4,1
59,tree_growth,39,28,12
60,tree_growth,9,18,24
61,flower,67,74,82
62,beer,40,51,71
63,flower,6,15,22
64,beer,55,75,97
65,circular_progressbar,45,59,72
66,tree_growth,19,16,9
67,flower,19,27,38
68,circular_progressbar,41,28,16
69,beer,2,7,12
70,tree_growth,12,32,58
71,sun,74,64,50
72,beer,1,3,5
73,tree_growth,36,45,54
74,beer,72,85,96
75,beer,5,3,1
76,candle,38,71,86
77,beer,38,29,16
78,beer,68,78,93
79,circular_progressbar,29,20,10
80,circular_progressbar,64,57,49
81,ripple_wave,45,34,15
82,beer,86,76,70
83,tree_growth,92,84,76
84,ripple_wave,2,2,1
85,circular_progressbar,24,19,14
86,ripple_wave,50,57,65
87,circular_progressbar,27,42,66
88,tree_growth,87,92,97
89,circular_progressbar,1,2,4
90,candle,73,68,54
91,candle,25,17,5
92,sun,1,4,6
93,ripple_wave,95,64,52
94,circular_progressbar,85,65,45
95,ripple_wave,80,69,60
96,sun,18,33,56
97,beer,61,79,100
98,sun,63,73,85
99,ripple_wave,99,74,52
100,ripple_wave,95,86,84
101,flower,47,38,25
102,candle,88,71,51
103,ripple_wave,100,94,88
104,flower,28,48,58
105,flower,81,64,39
106,sun,16,27,41
107,tree_growth,81,67,51
108,ripple_wave,58,38,21
109,sun,46,36,33
110,beer,72,86,100
111,ripple_wave,79,66,50
112,candle,8,30,51
113,flower,2,1,1
114,candle,71,81,91
115,circular_progressbar,97,78,59
116,sun,39,19,4
117,beer,5,3,1
118,flower,54,40,16
119,tree_growth,2,28,41
120,candle,56,35,14
121,beer,100,96,90
122,sun,24,19,14
123,beer,97,99,100
124,candle,37,59,66
125,flower,58,49,37
126,flower,11,28,43
127,circular_progressbar,97,98,100
128,circular_progressbar,12,7,1
129,circular_progressbar,59,72,86
130,sun,71,49,21
131,tree_growth,40,34,28
132,flower,49,58,73
133,tree_growth,69,64,59
134,circular_progressbar,54,35,17
135,tree_growth,5,16,25
136,ripple_wave,83,58,37
137,circular_progressbar,9,5,1
138,sun,96,85,74
139,sun,38,59,78
140,candle,43,32,82
