index,glyph_type,sizeA,sizeB,sizeC
1,ripple_wave,99,100,100
2,sun,100,99,97
3,tree_growth,42,73,88
4,sun,93,83,74
5,ripple_wave,18,26,33
6,candle,3,27,39
7,ripple_wave,52,76,84
8,tree_growth,72,62,37
9,ripple_wave,2,1,1
10,tree_growth,77,86,92
11,circular_progressbar,64,52,47
12,sun,70,60,43
13,circular_progressbar,1,8,14
14,tree_growth,85,78,42
15,flower,30,34,41
16,flower,30,51,63
17,tree_growth,13,21,23
18,tree_growth,52,26,7
19,beer,3,14,30
20,beer,91,64,41
21,sun,58,51,41
22,circular_progressbar,42,34,23
23,beer,75,72,53
24,circular_progressbar,94,73,54
25,beer,32,46,55
26,tree_growth,38,24,9
27,candle,28,16,2
28,flower,59,49,36
29,beer,31,38,41
30,sun,13,29,61
31,circular_progressbar,7,25,43
32,candle,100,96,93
33,tree_growth,26,15,3
34,tree_growth,49,77,90
35,ripple_wave,56,61,77
36,tree_growth,65,71,77
37,flower,100,68,50
38,beer,7,12,18
39,candle,99,91,82
40,flower,68,47,21
41,circular_progressbar,94,81,71
42,ripple_wave,13,10,2
43,candle,10,23,35
44,sun,84,72,58
45,flower,29,55,73
46,flower,76,82,96
47,beer,54,72,84
48,circular_progressbar,68,83,99
49,tree_growth,100,96,93
50,sun,60,24,11
51,flower,14,40,56
52,candle,86,80,72
53,circular_progressbar,50,44,39
54,flower,1,5,10
55,candle,31,40,76
56,flower,52,40,12
57,circular_progressbar,19,31,45
58,circular_progressbar,43,34,24
59,flower,1,5,8
60,ripple_wave,64,71,90
61,sun,2,16,37
62,ripple_wave,51,73,95
63,sun,12,27,59
64,candle,52,34,21
65,candle,63,53,41
66,candle,22,30,33
67,ripple_wave,54,74,97
68,beer,15,11,3
69,beer,30,35,44
70,sun,7,21,38
71,ripple_wave,18,25,28
72,flower,11,33,47
73,tree_growth,87,76,62
74,flower,46,29,5
75,tree_growth,27,41,61
76,beer,41,53,61
77,ripple_wave,81,61,39
78,circular_progressbar,91,83,79
79,ripple_wave,54,68,72
80,beer,36,55,66
81,ripple_wave,28,55,68
82,flower,10,4,1
83,sun,1,18,41
84,sun,58,70,80
85,tree_growth,2,2,1
86,tree_growth,21,40,67
87,ripple_wave,94,87,80
88,sun,57,44,36
89,beer,98,91,84
90,ripple_wave,19,30,57
91,candle,41,80,86
92,flower,21,14,6
93,flower,80,65,49
94,flower,63,55,42
95,candle,38,69,86
96,candle,85,75,37
97,circular_progressbar,95,97,100
98,candle,43,35,25
99,sun,75,68,60
100,ripple_wave,47,27,13
101,sun,62,53,36
102,circular_progressbar,50,38,28
103,circular_progressbar,54,64,76
104,flower,89,85,79
105,circular_progressbar,54,41,31
106,sun,27,18,11
107,tree_growth,78,70,43
108,beer,95,85,78
109,flower,93,86,79
110,tree_growth,56,35,15
111,circular_progressbar,1,2,3
112,ripple_wave,37,29,21
113,flower,51,72,86
114,sun,83,65,34
115,candle,1,5,8
116,circular_progressbar,3,17,32
117,beer,64,83,95
118,circular_progressbar,4,11,21
119,sun,64,82,95
120,candle,20,43,58
121,beer,48,66,77
122,beer,15,12,5
123,sun,54,44,30
124,circular_progressbar,23,21,12
125,tree_growth,3,13,20
126,candle,8,16,26
127,beer,61,42,25
128,ripple_wave,43,34,24
129,ripple_wave,100,94,97
130,candle,89,96,100
131,beer,99,94,87
132,tree_growth,3,15,29
133,beer,69,58,42
134,candle,65,56,75
135,beer,48,47,38
136,circular_progressbar,47,69,96
137,tree_growth,81,74,50
138,candle,47,29,7
139,ripple_wave,1,5,8
140,sun,95,82,73
