index,glyph_type,sizeA,sizeB,sizeC
1,beer,33,46,69
2,candle,54,43,33
3,circular_progressbar,56,37,11
4,tree_growth,13,37,55
5,tree_growth,43,70,90
6,beer,65,51,31
7,circular_progressbar,26,18,12
8,ripple_wave,1,3,5
9,candle,68,71,97
10,candle,29,52,72
11,tree_growth,83,92,100
12,beer,83,72,50
13,sun,56,24,9
14,circular_progressbar,19,13,6
15,candle,9,45,53
16,flower,66,84,96
17,beer,47,63,73
18,tree_growth,84,94,100
19,circular_progressbar,91,71,50
20,ripple_wave,1,11,20
21,circular_progressbar,25,39,63
22,candle,30,49,69
23,tree_growth,49,35,19
24,ripple_wave,50,29,8
25,sun,58,27,17
26,circular_progressbar,85,89,96
27,ripple_wave,17,35,46
28,sun,38,68,75
29,candle,69,57,32
30,flower,42,48,54
31,circular_progressbar,53,71,98
32,circular_progressbar,19,13,8
33,ripple_wave,38,55,64
34,candle,22,41,52
35,sun,81,66,33
36,candle,53,41,9
37,sun,100,90,84
38,tree_growth,90,95,100
39,flower,25,21,12
40,sun,100,97,92
41,flower,1,2,7
42,flower,52,62,72
43,tree_growth,87,93,100
44,beer,78,62,39
45,circular_progressbar,37,44,51
46,circular_progressbar,1,20,33
47,candle,23,26,33
48,candle,97,99,100
49,candle,17,23,32
50,tree_growth,74,68,50
51,beer,11,45,60
52,ripple_wave,69,89,99
53,circular_progressbar,31,37,44
54,circular_progressbar,100,99,98
55,sun,36,56,63
56,ripple_wave,4,2,1
57,flower,43,67,83
58,flower,62,77,90
59,beer,91,74,62
60,sun,65,59,45
61,circular_progressbar,67,56,45
62,circular_progressbar,64,51,40
63,circular_progressbar,44,35,29
64,tree_growth,56,80,89
65,sun,16,27,57
66,tree_growth,27,18,15
67,sun,20,13,7
68,sun,10,21,39
69,sun,10,7,1
70,beer,69,43,24
71,flower,19,22,31
72,flower,64,58,47
73,beer,64,84,97
74,flower,36,28,14
75,ripple_wave,98,99,100
76,ripple_wave,27,41,60
77,beer,81,77,70
78,beer,70,65,54
79,tree_growth,61,79,89
80,tree_growth,51,44,40
81,ripple_wave,3,27,39
82,ripple_wave,52,28,18
83,beer,84,92,96
84,ripple_wave,70,76,81
85,beer,82,76,65
86,candle,1,3,2
87,beer,77,75,56
88,beer,20,32,43
89,ripple_wave,93,81,67
90,candle,30,40,77
91,circular_progressbar,18,22,31
92,candle,47,38,17
93,tree_growth,3,2,1
94,beer,73,69,56
95,flower,15,32,42
96,sun,99,94,89
97,candle,1,3,7
98,beer,28,20,9
99,flower,36,55,64
100,flower,32,41,44
101,tree_growth,67,78,85
102,ripple_wave,75,70,97
103,circular_progressbar,18,11,4
104,ripple_wave,50,63,86
105,ripple_wave,1,5,8
106,beer,100,93,71
107,ripple_wave,61,77,97
108,sun,17,13,6
109,beer,21,42,48
110,candle,12,47,60
111,tree_growth,26,16,10
112,flower,68,51,28
113,flower,12,6,1
114,tree_growth,3,15,20
115,sun,74,70,62
116,tree_growth,96,86,78
117,tree_growth,98,88,54
118,ripple_wave,98,90,100
119,flower,1,2,7
120,circular_progressbar,31,41,53
121,flower,100,97,92
122,beer,38,31,1
123,flower,84,79,66
124,sun,7,12,18
125,flower,73,56,37
126,tree_growth,42,37,21
127,candle,47,63,93
128,ripple_wave,22,30,33
129,tree_growth,61,77,86
130,circular_progressbar,35,22,13
131,candle,62,49,78
132,ripple_wave,85,67,46
133,sun,24,38,48
134,sun,1,18,31
135,flower,76,66,43
136,sun,53,65,69
137,sun,25,31,38
138,circular_progressbar,64,69,76
139,candle,72,65,35
140,candle,18,11,1
