index,glyph_type,sizeA,sizeB,sizeC
1,beer,58,50,38
2,tree_growth,96,68,53
3,sun,44,35,74
4,ripple_wave,33,22,58
5,circular_progressbar,96,33,66
6,tree_growth,69,61,89
7,circular_progressbar,52,74,98
8,flower,15,20,28
9,candle,5,3,1
10,flower,34,52,61
11,tree_growth,68,62,48
12,ripple_wave,87,69,63
13,candle,4,11,29
14,flower,71,75,84
15,sun,20,22,42
16,ripple_wave,20,32,44
17,sun,42,52,58
18,sun,12,7,2
19,beer,59,47,24
20,flower,7,20,24
21,circular_progressbar,6,18,30
22,beer,19,48,67
23,circular_progressbar,56,51,43
24,flower,39,51,64
25,sun,99,54,100
26,candle,30,62,71
27,circular_progressbar,15,38,46
28,tree_growth,96,74,65
29,circular_progressbar,48,57,81
30,candle,8,17,34
31,flower,16,22,27
32,sun,38,20,14
33,beer,89,90,100
34,candle,47,80,35
35,flower,68,83,96
36,sun,100,50,98
37,tree_growth,62,54,48
38,candle,23,33,45
39,circular_progressbar,60,66,76
40,beer,81,91,95
41,beer,77,60,37
42,ripple_wave,47,40,23
43,beer,45,70,82
44,tree_growth,52,36,12
45,beer,66,58,53
46,sun,52,26,11
47,sun,93,41,69
48,beer,87,96,100
49,flower,27,47,65
50,sun,17,10,6
51,beer,45,54,62
52,sun,93,77,56
53,candle,74,81,88
54,tree_growth,35,39,46
55,beer,29,39,45
56,tree_growth,54,76,95
57,beer,98,77,53
58,beer,12,15,25
59,sun,100,96,89
60,sun,9,21,27
61,sun,99,90,77
62,candle,74,64,50
63,beer,100,96,89
64,circular_progressbar,46,67,84
65,ripple_wave,17,10,5
66,candle,3,1,1
67,flower,100,91,91
68,sun,90,86,79
69,circular_progressbar,70,49,30
70,sun,42,44,53
71,candle,55,36,30
72,ripple_wave,77,71,58
73,tree_growth,55,73,82
74,ripple_wave,14,25,34
75,candle,43,33,81
76,flower,17,26,31
77,circular_progressbar,83,79,73
78,flower,46,36,21
79,beer,37,30,22
80,tree_growth,85,72,58
81,circular_progressbar,8,18,27
82,beer,43,71,82
83,beer,7,3,1
84,tree_growth,59,75,96
85,ripple_wave,8,28,54
86,sun,70,79,88
87,candle,33,64,72
88,circular_progressbar,1,7,11
89,beer,29,16,1
90,beer,99,86,76
91,circular_progressbar,11,28,39
92,tree_growth,10,16,26
93,ripple_wave,30,42,72
94,flower,65,78,86
95,candle,72,51,28
96,tree_growth,46,32,25
97,sun,84,89,99
98,flower,30,22,18
99,flower,91,96,100
100,ripple_wave,6,19,42
101,flower,76,85,92
102,flower,8,4,1
103,candle,32,30,20
104,circular_progressbar,65,45,26
105,ripple_wave,94,80,78
106,ripple_wave,29,42,54
107,tree_growth,79,70,62
108,candle,89,71,79
109,candle,96,98,100
110,ripple_wave,20,36,69
111,tree_growth,17,40,63
112,candle,90,82,72
113,flower,10,22,28
114,circular_progressbar,94,82,66
115,ripple_wave,8,5,1
116,candle,93,80,61
117,ripple_wave,73,52,23
118,tree_growth,100,98,97
119,ripple_wave,32,20,5
120,ripple_wave,1,8,17
121,circular_progressbar,63,56,50
122,circular_progressbar,53,76,92
123,sun,38,47,54
124,flower,50,45,39
125,tree_growth,89,95,100
126,circular_progressbar,1,8,11
127,ripple_wave,10,17,22
128,candle,75,65,59
129,tree_growth,29,37,51
130,ripple_wave,27,47,61
131,circular_progressbar,85,91,99
132,flower,62,45,40
133,circular_progressbar,67,41,17
134,tree_growth,96,74,54
135,tree_growth,1,7,10
136,ripple_wave,1,8,18
137,sun,16,48,63
138,beer,1,5,9
139,flower,39,48,64
140,candle,98,85,51
