index,glyph_type,sizeA,sizeB,sizeC
1,circular_progressbar,6,13,17
2,circular_progressbar,66,39,16
3,beer,46,33,68
4,circular_progressbar,13,6,1
5,candle,55,26,86
6,ripple_wave,63,50,18
7,flower,74,59,48
8,sun,4,17,30
9,candle,99,59,82
10,tree_growth,63,49,35
11,candle,91,83,64
12,ripple_wave,87,67,45
13,circular_progressbar,70,53,39
14,candle,100,90,83
15,sun,100,90,83
16,flower,3,10,17
17,circular_progressbar,90,66,43
18,ripple_wave,16,35,57
19,sun,87,76,53
20,ripple_wave,15,25,39
21,flower,2,13,38
22,beer,52,39,93
23,circular_progressbar,21,9,5
24,flower,12,21,24
25,ripple_wave,70,65,59
26,tree_growth,57,74,88
27,tree_growth,100,96,93
28,sun,37,40,48
29,candle,15,9,4
30,circular_progressbar,2,16,32
31,flower,1,10,17
