index,glyph_type,sizeA,sizeB,sizeC
1,candle,49,80,87
2,candle,12,8,2
3,candle,52,80,99
4,ripple_wave,35,51,73
5,ripple_wave,50,65,84
6,beer,66,55,45
7,flower,26,45,57
8,ripple_wave,100,98,90
9,flower,36,29,17
10,circular_progressbar,11,23,33
11,beer,70,86,99
12,circular_progressbar,35,61,74
13,tree_growth,24,33,47
14,ripple_wave,91,83,74
15,sun,52,71,85
16,flower,30,19,2
17,tree_growth,80,71,64
18,circular_progressbar,61,63,71
19,flower,30,61,79
20,circular_progressbar,35,51,66
21,circular_progressbar,53,37,21
22,candle,94,80,72
23,ripple_wave,75,72,60
24,sun,41,27,21
25,beer,26,32,37
