index,glyph_type,sizeA,sizeB,sizeC
1,sun,47,48,95
2,beer,61,69,73
3,tree_growth,96,90,84
4,flower,94,88,74
5,ripple_wave,49,64,67
6,ripple_wave,80,74,95
7,flower,2,55,36
8,candle,100,79,93
9,ripple_wave,99,87,88
10,ripple_wave,25,43,9
11,flower,77,55,92
12,candle,62,17,91
13,sun,20,81,30
14,candle,49,95,26
15,candle,63,24,35
16,flower,30,98,61
17,beer,48,65,79
18,beer,68,56,32
19,beer,90,46,71
20,circular_progressbar,1,6,2
21,sun,43,80,25
22,tree_growth,19,65,2
23,circular_progressbar,26,76,2
24,sun,85,17,95
25,flower,43,100,61
26,ripple_wave,75,19,37
27,beer,78,63,49
28,ripple_wave,64,60,76
29,tree_growth,21,91,55
30,flower,66,83,43
31,circular_progressbar,57,6,33
32,circular_progressbar,53,8,66
33,tree_growth,70,15,41
34,beer,4,29,14
35,flower,44,19,91
36,circular_progressbar,3,58,27
37,flower,2,48,12
38,candle,66,85,82
39,sun,85,16,99
40,flower,45,87,35
41,sun,30,64,44
42,sun,51,39,67
43,ripple_wave,20,31,9
44,ripple_wave,78,23,52
45,candle,2,48,15
46,sun,87,6,37
47,ripple_wave,26,39,40
48,flower,52,100,33
49,tree_growth,65,82,30
50,tree_growth,99,100,100
51,beer,77,71,92
52,tree_growth,78,99,100
53,sun,6,72,39
54,sun,100,21,91
55,circular_progressbar,37,56,9
56,sun,36,42,17
57,ripple_wave,35,49,13
58,beer,52,22,5
59,flower,59,59,36
60,sun,54,42,42
61,tree_growth,4,90,22
62,ripple_wave,59,49,15
63,ripple_wave,43,46,32
64,flower,20,66,57
65,beer,94,40,100
66,circular_progressbar,9,38,24
67,flower,66,54,27
68,flower,93,59,61
69,sun,70,29,37
70,circular_progressbar,3,36,1
71,tree_growth,78,58,89
72,candle,87,35,50
73,tree_growth,97,74,52
74,tree_growth,33,90,48
75,beer,20,33,6
76,beer,49,59,89
77,tree_growth,99,79,100
78,flower,44,67,79
79,beer,49,56,83
80,beer,79,60,94
81,tree_growth,37,80,21
82,circular_progressbar,47,30,61
83,beer,54,62,90
84,circular_progressbar,65,30,46
85,tree_growth,99,94,100
86,flower,11,73,28
87,sun,57,44,43
88,tree_growth,2,61,17
89,sun,78,68,51
90,flower,16,62,4
91,candle,98,35,100
92,beer,89,75,71
93,flower,6,68,1
94,candle,83,37,40
95,candle,6,23,16
96,candle,1,25,9
97,tree_growth,66,99,80
98,candle,72,24,100
99,circular_progressbar,32,17,45
