index,glyph_type,sizeA,sizeB,sizeC
1,beer,37,43,50
2,sun,82,78,47
3,flower,78,84,96
4,tree_growth,51,41,29
5,beer,62,55,49
6,sun,1,8,12
7,circular_progressbar,63,75,87
8,ripple_wave,92,72,56
9,sun,31,47,61
10,tree_growth,2,28,45
11,tree_growth,100,96,93
12,ripple_wave,13,22,33
13,candle,53,37,13
14,flower,82,85,92
15,ripple_wave,57,43,24
16,candle,82,88,92
17,tree_growth,78,71,55
18,ripple_wave,3,13,28
19,sun,80,88,96
20,circular_progressbar,78,60,35
21,tree_growth,72,80,86
22,circular_progressbar,58,73,91
23,tree_growth,69,56,50
24,flower,91,73,54
25,beer,77,89,98
26,circular_progressbar,8,19,29
27,tree_growth,67,44,24
28,ripple_wave,95,82,83
29,ripple_wave,38,31,9
30,tree_growth,99,100,100
31,tree_growth,10,7,1
32,tree_growth,40,28,17
33,ripple_wave,56,63,81
34,circular_progressbar,96,73,53
35,ripple_wave,11,34,50
36,tree_growth,100,95,91
37,tree_growth,24,16,3
38,circular_progressbar,84,90,98
39,candle,15,7,5
40,tree_growth,24,31,36
41,ripple_wave,34,24,9
42,tree_growth,89,76,61
43,flower,17,8,4
44,ripple_wave,65,76,88
45,ripple_wave,71,51,37
46,candle,58,46,30
47,ripple_wave,51,38,18
48,candle,85,67,51
49,ripple_wave,100,98,96
50,ripple_wave,30,21,9
51,tree_growth,31,64,73
52,circular_progressbar,50,25,1
