index,glyph_type,sizeA,sizeB,sizeC
2,line,8.0,14.0,18.0
3,polygon,23.0,15.0,1.0
4,polygon,28.0,16.0,1.0
5,polygon,1.0,31.0,43.0
7,line,33.0,31.0,23.0
8,star,16.0,32.0,38.0
9,circle,9.0,28.0,47.0
13,square,54.0,41.0,33.0
14,star,57.0,38.0,19.0
17,line,60.0,59.0,49.0
18,square,37.0,40.0,58.0
19,circle,30.0,45.0,69.0
22,square,51.0,56.0,61.0
23,square,46.0,55.0,66.0
24,circle,85.0,64.0,43.0
27,polygon,77.0,68.0,66.0
28,line,60.0,75.0,80.0
29,polygon,92.0,76.0,54.0
32,line,95.0,90.0,84.0
33,star,100.0,92.0,80.0
34,line,70.0,86.0,100.0
35,square,100.0,74.0,56.0
38,line,19.0,10.0,1.0
39,star,26.0,16.0,1.0
40,polygon,1.0,21.0,43.0
43,star,39.0,28.0,17.0
44,circle,54.0,35.0,14.0
47,polygon,38.0,40.0,50.0
48,star,53.0,43.0,31.0
49,star,25.0,43.0,64.0
52,polygon,41.0,45.0,51.0
53,square,42.0,49.0,62.0
54,circle,75.0,52.0,33.0
57,circle,53.0,60.0,64.0
58,line,67.0,54.0,45.0
59,polygon,38.0,57.0,76.0
62,square,79.0,73.0,68.0
63,star,79.0,69.0,60.0
64,star,48.0,64.0,89.0
68,circle,84.0,92.0,100.0
69,circle,68.0,81.0,100.0
70,polygon,100.0,67.0,58.0
72,square,15.0,11.0,4.0
73,line,3.0,15.0,24.0
74,square,34.0,18.0,1.0
75,star,1.0,25.0,37.0
77,circle,33.0,29.0,22.0
78,star,41.0,32.0,22.0
79,line,53.0,32.0,11.0
83,star,31.0,39.0,49.0
84,square,23.0,37.0,63.0
87,square,59.0,52.0,49.0
88,polygon,39.0,44.0,59.0
89,line,65.0,40.0,27.0
92,circle,65.0,59.0,54.0
93,star,52.0,60.0,73.0
94,square,81.0,60.0,39.0
98,line,57.0,68.0,77.0
99,polygon,93.0,66.0,52.0
2,line,8.0,14.0,18.0
3,polygon,23.0,15.0,1.0
4,polygon,28.0,16.0,1.0
5,polygon,1.0,32.0,43.0
7,line,33.0,29.0,23.0
8,star,16.0,29.0,38.0
9,circle,9.0,32.0,47.0
13,square,54.0,43.0,33.0
14,star,57.0,45.0,19.0
17,line,60.0,53.0,49.0
18,square,37.0,51.0,58.0
19,circle,30.0,52.0,69.0
22,square,51.0,58.0,61.0
23,square,46.0,58.0,66.0
24,circle,85.0,66.0,43.0
27,polygon,77.0,72.0,66.0
28,line,60.0,69.0,80.0
29,polygon,92.0,77.0,54.0
32,line,95.0,86.0,84.0
33,star,100.0,92.0,80.0
34,line,70.0,90.0,100.0
35,square,100.0,81.0,56.0
38,line,19.0,11.0,1.0
39,star,26.0,15.0,1.0
40,polygon,1.0,10.0,43.0
43,star,39.0,28.0,17.0
44,circle,54.0,38.0,14.0
47,polygon,38.0,45.0,50.0
48,star,53.0,41.0,31.0
49,star,25.0,48.0,64.0
52,polygon,41.0,46.0,51.0
53,square,42.0,51.0,62.0
54,circle,75.0,57.0,33.0
57,circle,53.0,61.0,64.0
58,line,67.0,54.0,45.0
59,polygon,38.0,60.0,76.0
62,square,79.0,73.0,68.0
63,star,79.0,70.0,60.0
64,star,48.0,65.0,89.0
68,circle,84.0,96.0,100.0
69,circle,68.0,90.0,100.0
70,polygon,100.0,80.0,58.0
72,square,15.0,9.0,4.0
73,line,3.0,17.0,24.0
74,square,34.0,16.0,1.0
75,star,1.0,20.0,37.0
77,circle,33.0,30.0,22.0
78,star,41.0,32.0,22.0
79,line,53.0,30.0,11.0
83,star,31.0,41.0,49.0
84,square,23.0,51.0,63.0
87,square,59.0,56.0,49.0
88,polygon,39.0,51.0,59.0
89,line,65.0,41.0,27.0
92,circle,65.0,58.0,54.0
93,star,52.0,60.0,73.0
94,square,81.0,63.0,39.0
98,line,57.0,70.0,77.0
99,polygon,93.0,74.0,52.0
2,star,95.0,73.0,58.0
3,star,48.0,69.0,98.0
5,circle,17.0,35.0,49.0
8,square,56.0,68.0,84.0
10,square,87.0,74.0,65.0
11,line,1.0,28.0,39.0
15,circle,58.0,39.0,24.0
19,star,8.0,12.0,18.0
21,star,49.0,34.0,4.0
22,star,78.0,82.0,94.0
24,circle,77.0,52.0,32.0
26,line,72.0,69.0,56.0
28,line,90.0,76.0,74.0
31,circle,49.0,36.0,15.0
36,circle,44.0,34.0,15.0
40,polygon,27.0,44.0,57.0
42,polygon,40.0,56.0,77.0
45,polygon,4.0,27.0,37.0
47,circle,55.0,60.0,71.0
49,polygon,30.0,55.0,79.0
50,polygon,79.0,75.0,60.0
52,circle,97.0,70.0,56.0
53,star,55.0,64.0,68.0
57,polygon,25.0,12.0,5.0
59,line,94.0,84.0,77.0
61,line,57.0,46.0,26.0
62,circle,28.0,18.0,8.0
63,polygon,67.0,60.0,77.0
64,line,40.0,51.0,61.0
66,square,69.0,79.0,88.0
69,star,65.0,79.0,94.0
70,polygon,21.0,50.0,71.0
72,polygon,39.0,55.0,85.0
73,polygon,42.0,49.0,61.0
75,polygon,36.0,53.0,68.0
76,star,43.0,30.0,4.0
78,star,54.0,65.0,72.0
81,square,14.0,38.0,52.0
82,line,71.0,52.0,42.0
84,circle,38.0,56.0,73.0
86,star,55.0,42.0,9.0
87,star,56.0,52.0,46.0
89,polygon,48.0,39.0,6.0
90,square,65.0,49.0,34.0
91,circle,29.0,42.0,59.0
92,square,88.0,74.0,61.0
94,circle,63.0,45.0,29.0
96,circle,20.0,32.0,58.0
97,line,45.0,41.0,29.0
98,line,13.0,6.0,1.0
99,circle,15.0,30.0,40.0
100,square,41.0,36.0,31.0
1,polygon,30.0,31.0,46.0
2,star,69.0,85.0,94.0
3,polygon,37.0,19.0,21.0
4,square,31.0,46.0,60.0
6,star,59.0,73.0,86.0
8,polygon,45.0,33.0,28.0
12,star,51.0,32.0,17.0
13,circle,98.0,93.0,82.0
14,square,18.0,23.0,38.0
17,star,65.0,58.0,47.0
19,circle,88.0,72.0,51.0
22,line,91.0,77.0,54.0
23,line,29.0,22.0,14.0
24,circle,61.0,68.0,71.0
30,square,40.0,33.0,26.0
31,star,63.0,48.0,35.0
32,line,43.0,34.0,20.0
33,polygon,76.0,64.0,53.0
34,polygon,49.0,40.0,28.0
35,polygon,72.0,51.0,24.0
39,line,50.0,53.0,66.0
40,circle,6.0,32.0,51.0
42,star,71.0,50.0,37.0
43,square,37.0,31.0,19.0
44,star,82.0,62.0,43.0
47,line,35.0,46.0,53.0
49,line,39.0,29.0,14.0
50,star,78.0,53.0,38.0
52,circle,40.0,27.0,12.0
54,polygon,93.0,69.0,54.0
55,circle,96.0,88.0,78.0
56,star,48.0,67.0,98.0
58,circle,38.0,47.0,59.0
60,line,6.0,18.0,40.0
61,star,82.0,86.0,96.0
62,star,53.0,57.0,64.0
63,line,67.0,82.0,96.0
64,polygon,61.0,32.0,13.0
66,square,21.0,40.0,59.0
71,polygon,7.0,14.0,23.0
