glyph_type,model,data,avg_unsigned,avg_signed,R
line,linear,inliers,2.544,0.023,2.5441039680013082
line,gamma,inliers,2.537,-0.133,2.540483812190111
line,poly3c,inliers,2.506,-0.42,2.5409517901762717
line,linear,same_data,2.91,0.116,2.9123111097545884
line,gamma,same_data,2.94,0.304,2.955675218964357
line,poly3c,same_data,2.91,-0.336,2.929333712638422
square,linear,inliers,1.779,0.46499999999999997,1.8387675220103274
square,gamma,inliers,1.7160000000000002,0.179,1.7253106966572718
square,poly3c,inliers,1.7409999999999999,0.124,1.7454102669573133
square,linear,same_data,2.081,0.5660000000000001,2.156598479086916
square,gamma,same_data,2.007,0.256,2.0232609816827885
square,poly3c,same_data,2.0469999999999997,0.187,2.05552377753214
circle,linear,inliers,2.2640000000000002,0.49899999999999994,2.318339276292407
circle,gamma,inliers,2.273,0.335,2.297553916668769
circle,poly3c,inliers,2.254,0.078,2.2553491969094277
circle,linear,same_data,2.527,0.6910000000000001,2.619772890920127
circle,gamma,same_data,2.4979999999999998,0.551,2.5580471066811885
circle,poly3c,same_data,2.464,0.16199999999999998,2.4693197443830557
star,linear,inliers,2.251,-0.11299999999999999,2.2538345103401003
star,gamma,inliers,2.2849999999999997,0.515,2.3423172287288496
star,poly3c,inliers,2.155,0.214,2.1655994551162965
star,linear,same_data,2.637,-0.613,2.7073119509949346
star,gamma,same_data,2.6100000000000003,0.49500000000000005,2.65652498576618
star,poly3c,same_data,2.573,-0.18,2.5792884677755605
polygon,linear,inliers,3.306,0.596,3.3592933780781937
polygon,gamma,inliers,3.3640000000000003,1.247,3.5876879741694374
polygon,poly3c,inliers,3.634,0.462,3.6632499232239124
polygon,linear,same_data,3.757,0.565,3.7992465042426504
polygon,gamma,same_data,3.8080000000000003,1.168,3.983100300017563
polygon,poly3c,same_data,4.077,0.864,4.167544240916945
sun_cc,linear,inliers,1.9929999999999999,0.8160000000000001,2.1535795782835607
sun_cc,gamma,inliers,1.755,0.006999999999999999,1.7550139600584378
sun_cc,poly3c,inliers,1.9900000000000002,0.307,2.0135414075702545
sun_cc,linear,same_data,2.3619999999999997,1.247,2.6709648069564675
sun_cc,gamma,same_data,2.067,-0.053,2.0676793755319034
sun_cc,poly3c,same_data,2.355,0.803,2.4881386617308934
