index,glyph_type,sizeA,sizeB,sizeC
1,polygon,30,31,46
2,star,69,85,94
3,polygon,37,19,21
4,square,31,46,60
5,square,63,58,57
6,star,59,73,86
7,polygon,83,32,2
8,polygon,45,33,28
9,circle,4,27,88
10,star,95,61,15
11,square,10,49,99
12,star,51,32,17
13,circle,98,93,82
14,square,18,23,38
15,polygon,67,72,71
16,circle,2,44,97
17,star,65,58,47
18,star,24,28,32
19,circle,88,72,51
20,square,89,64,35
21,square,8,50,87
22,line,91,77,54
23,line,29,22,14
24,circle,61,68,71
25,polygon,81,78,89
26,square,11,8,2
27,circle,8,66,92
28,square,41,69,93
29,line,1,49,100
30,square,40,33,26
31,star,63,48,35
32,line,43,34,20
33,polygon,76,64,53
34,polygon,49,40,28
35,polygon,72,51,24
36,polygon,5,40,73
37,circle,64,62,57
38,circle,18,63,97
39,line,50,53,66
40,circle,6,32,51
41,star,26,32,34
42,star,71,50,37
43,square,37,31,19
44,star,82,62,43
45,circle,88,92,97
46,circle,93,91,89
47,line,35,46,53
48,line,94,45,22
49,line,39,29,14
50,star,78,53,38
51,star,52,29,1
52,circle,40,27,12
53,square,68,63,61
54,polygon,93,69,54
55,circle,96,88,78
56,star,48,67,98
57,circle,60,33,3
58,circle,38,47,59
59,line,11,35,80
60,line,6,18,40
61,star,82,86,96
62,star,53,57,64
63,line,67,82,96
64,polygon,61,32,13
65,circle,18,44,78
66,square,21,40,59
67,square,1,57,96
68,square,88,84,83
69,square,19,44,86
70,star,73,44,8
71,polygon,7,14,23
72,circle,15,35,69
73,line,98,97,94
74,star,47,54,67
75,square,18,35,54
76,polygon,99,54,27
77,line,23,36,45
78,polygon,2,5,8
79,square,44,48,54
80,line,17,35,60
81,line,46,46,44
82,circle,66,75,93
83,line,64,73,85
84,star,38,46,60
85,polygon,69,37,21
86,line,100,70,40
87,polygon,67,56,43
88,line,4,29,50
89,line,90,92,100
90,square,87,42,21
91,polygon,90,73,66
92,line,99,93,87
93,circle,97,58,33
94,polygon,92,73,63
95,circle,70,79,92
96,square,67,70,71
97,square,87,83,76
98,star,14,41,56
99,polygon,42,25,11
100,star,48,28,6
