index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,28,50,70
2,sun,83,76,65
3,tree_growth,65,46,27
4,sun,39,71,87
5,flower,7,24,33
6,sun,62,75,88
7,sun,77,87,98
8,tree_growth,85,69,40
9,sun,79,69,53
10,flower,6,34,45
11,flower,64,37,22
12,circular_progressbar,4,15,26
13,sun,51,72,86
14,tree_growth,67,50,26
15,sun,4,22,39
16,sun,48,19,5
17,beer,14,22,32
18,tree_growth,8,19,34
19,flower,74,81,92
20,beer,43,32,26
21,tree_growth,63,56,46
22,tree_growth,33,21,2
23,circular_progressbar,61,77,96
24,beer,14,30,55
25,flower,80,66,48
26,circular_progressbar,10,22,33
27,circular_progressbar,31,46,66
28,circular_progressbar,4,14,21
29,flower,49,78,94
30,flower,28,19,9
31,circular_progressbar,54,23,7
32,tree_growth,91,72,48
33,tree_growth,84,69,37
34,beer,5,16,28
35,sun,27,17,15
36,circular_progressbar,71,61,44
37,flower,4,18,22
38,sun,21,34,55
39,circular_progressbar,69,82,100
40,sun,57,70,82
41,circular_progressbar,70,59,49
42,beer,65,54,45
43,circular_progressbar,68,42,29
44,beer,25,42,66
45,tree_growth,34,19,11
46,circular_progressbar,17,32,44
47,beer,87,72,57
48,tree_growth,60,78,99
49,flower,2,25,48
50,flower,40,23,2
51,flower,58,83,95
52,sun,38,56,70
53,tree_growth,59,81,98
54,tree_growth,56,37,23
55,flower,83,70,44
56,beer,67,50,30
57,circular_progressbar,79,88,92
58,beer,50,65,84
59,tree_growth,89,80,74
60,circular_progressbar,51,56,62
61,tree_growth,61,74,88
62,sun,24,39,55
63,tree_growth,48,26,7
64,tree_growth,21,32,39
65,beer,8,19,31
66,flower,73,81,95
67,circular_progressbar,67,37,21
68,sun,48,66,74
69,sun,1,18,35
70,flower,69,53,35
71,sun,79,88,97
72,circular_progressbar,30,47,71
73,tree_growth,69,77,83
74,flower,40,70,87
75,beer,55,47,38
76,beer,67,73,77
77,flower,98,78,58
78,circular_progressbar,95,67,53
79,circular_progressbar,19,11,1
80,sun,12,30,59
81,sun,35,66,80
82,flower,73,64,56
83,beer,29,24,19
85,circular_progressbar,70,40,20
86,tree_growth,44,64,74
87,circular_progressbar,6,14,29
88,beer,78,64,48
89,flower,52,79,92
90,flower,71,57,34
91,beer,2,15,29
92,beer,61,50,42
93,flower,5,20,30
94,beer,80,87,98
95,sun,76,68,58
96,tree_growth,3,19,28
97,beer,74,61,50
98,beer,8,16,25
99,beer,9,18,27
100,circular_progressbar,68,26,20
