index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth,34,22,4
2,sun,42,20,5
3,beer,31,25,20
4,sun,39,49,62
5,circular_progressbar,48,72,92
6,sun,59,82,94
7,flower,27,19,4
8,circular_progressbar,81,57,38
9,tree_growth,30,68,80
10,beer,32,46,55
11,flower,76,83,94
12,circular_progressbar,95,88,84
13,tree_growth,66,75,78
14,sun,46,16,2
15,tree_growth,79,75,59
16,beer,75,55,33
17,flower,72,57,39
18,beer,87,62,40
19,beer,4,16,24
20,circular_progressbar,38,43,56
21,flower,69,52,22
22,tree_growth,40,18,6
23,flower,77,69,62
24,circular_progressbar,65,75,87
25,circular_progressbar,57,60,67
26,beer,11,36,59
27,beer,42,50,63
28,beer,29,60,79
29,flower,3,21,33
30,flower,68,46,31
31,flower,24,15,2
32,sun,66,82,96
33,sun,53,60,68
34,tree_growth,2,16,29
35,tree_growth,36,70,77
36,circular_progressbar,39,61,83
37,sun,56,78,89
38,tree_growth,61,50,34
39,sun,53,66,75
40,tree_growth,7,29,46
41,circular_progressbar,33,28,22
42,tree_growth,55,77,82
43,circular_progressbar,46,52,58
44,beer,13,35,51
45,flower,58,50,41
46,flower,33,22,2
47,beer,29,53,73
48,circular_progressbar,74,61,45
49,sun,94,24,54
50,sun,93,80,55
