index,glyph_type,sizeA,sizeB,sizeC
1,flower,66,51,39
2,sun,80,85,90
3,flower,24,16,10
4,sun,39,69,78
5,circular_progressbar,21,34,47
6,flower,56,40,22
7,beer,29,17,4
8,circular_progressbar,71,64,58
9,sun,91,78,44
10,circular_progressbar,1,15,26
11,sun,73,48,30
12,beer,29,48,62
13,flower,53,59,64
14,sun,3,19,30
15,tree_growth,32,56,60
16,sun,61,83,92
17,circular_progressbar,66,57,52
18,beer,68,56,40
19,tree_growth,56,47,10
20,sun,22,33,52
21,tree_growth,41,62,90
22,flower,86,64,42
23,flower,10,25,33
24,tree_growth,59,44,11
25,tree_growth,7,30,38
26,flower,28,22,18
27,beer,16,38,47
28,beer,18,13,5
29,tree_growth,48,70,96
30,tree_growth,26,18,14
31,beer,17,45,65
32,sun,82,74,53
33,tree_growth,5,17,28
34,sun,31,51,64
35,beer,100,84,55
36,circular_progressbar,84,67,47
37,circular_progressbar,98,86,65
38,circular_progressbar,74,56,45
39,beer,50,31,8
40,flower,26,31,37
41,circular_progressbar,62,39,15
42,flower,42,29,20
43,tree_growth,58,80,92
44,circular_progressbar,77,88,95
45,sun,31,18,3
46,beer,56,74,84
47,beer,85,78,66
48,circular_progressbar,48,75,93
49,tree_growth,47,72,93
50,flower,36,66,83
