index,glyph_type,sizeA,sizeB,sizeC
1,polygon,64,71,92
2,line,17,10,2
3,square,5,26,52
4,star,38,20,2
5,star,17,11,4
6,line,42,59,85
7,polygon,57,32,9
8,circle,100,77,58
9,square,13,38,56
10,star,61,68,80
11,circle,56,50,44
12,polygon,8,44,56
13,line,31,22,10
14,square,5,24,47
15,star,87,82,71
16,square,10,28,51
17,polygon,6,15,23
18,circle,63,45,36
19,square,85,63,40
20,polygon,38,41,50
21,polygon,70,74,80
22,circle,50,62,74
23,star,79,58,33
24,line,87,72,62
25,star,3,18,30
26,line,46,37,22
27,line,74,71,58
28,star,83,55,38
29,circle,88,71,60
30,line,51,68,75
31,line,62,73,95
32,circle,86,66,49
33,star,57,53,47
34,line,52,59,68
35,line,82,88,99
36,square,30,19,7
37,circle,59,45,32
38,polygon,89,66,44
39,polygon,28,38,52
40,square,99,74,51
41,square,19,36,53
42,star,86,88,96
43,circle,3,17,28
44,star,32,38,46
45,square,44,59,79
46,square,37,61,87
47,polygon,22,34,47
48,circle,15,32,58
49,polygon,16,28,40
50,circle,46,23,1
