index,glyph_type,sizeA,sizeB,sizeC
1,polygon,14,72,99
2,star,95,73,58
3,star,48,69,98
4,square,18,52,85
5,circle,17,35,49
6,line,29,53,94
7,circle,96,62,40
8,square,56,68,84
9,square,34,34,32
10,square,87,74,65
11,line,1,28,39
12,polygon,18,22,25
13,square,31,1,41
14,square,28,29,35
15,circle,58,39,24
16,square,62,33,6
17,line,35,61,99
18,square,19,23,27
19,star,8,12,18
20,star,8,10,13
21,star,49,34,4
22,star,78,82,94
23,line,92,95,96
24,circle,77,52,32
25,star,75,41,10
26,line,72,69,56
27,line,94,66,22
28,line,90,76,74
29,circle,67,27,1
30,polygon,80,88,81
31,circle,49,36,15
32,polygon,75,78,76
33,star,31,33,38
34,circle,95,56,26
35,star,61,53,54
36,circle,44,34,15
37,square,57,37,4
38,star,14,18,19
39,polygon,59,51,51
40,polygon,27,44,57
41,square,26,28,31
42,polygon,40,56,77
43,square,78,72,69
44,line,48,74,99
45,polygon,4,27,37
46,star,32,56,98
47,circle,55,60,71
48,square,35,66,95
49,polygon,30,55,79
50,polygon,79,75,60
51,polygon,90,66,13
52,circle,97,70,56
53,star,55,64,68
54,line,12,44,64
55,circle,100,63,32
56,square,78,50,5
57,polygon,25,12,5
58,square,29,68,93
59,line,94,84,77
60,line,13,17,17
61,line,57,46,26
62,circle,28,18,8
63,polygon,67,60,77
64,line,40,51,61
65,line,16,50,98
66,square,69,79,88
67,star,98,97,97
68,square,19,1,3
69,star,65,79,94
70,polygon,21,50,71
71,circle,71,69,70
72,polygon,39,55,85
73,polygon,42,49,61
74,polygon,24,30,32
75,polygon,36,53,68
76,star,43,30,4
77,line,2,50,67
78,star,54,65,72
79,line,33,31,25
80,circle,23,50,87
81,square,14,38,52
82,line,71,52,42
83,star,89,61,30
84,circle,38,56,73
85,polygon,97,93,88
86,star,55,42,9
87,star,56,52,46
88,line,59,59,58
89,polygon,48,39,6
90,square,65,49,34
91,circle,29,42,59
92,square,88,74,61
93,star,16,53,79
94,circle,63,45,29
95,circle,1,34,84
96,circle,20,32,58
97,line,45,41,29
98,line,13,6,1
99,circle,15,30,40
100,square,41,36,31
