index,glyph_type,sizeA,sizeB,sizeC
1,star,14,12,6
2,line,21,14,3
3,polygon,1,12,26
4,polygon,31,17,1
5,polygon,1,20,38
6,square,20,16,14
7,line,27,19,11
8,star,33,21,3
9,circle,1,21,39
10,circle,1,25,44
11,square,29,33,37
12,polygon,46,37,30
13,square,53,39,23
14,star,59,37,17
15,polygon,59,35,7
16,square,51,48,47
17,line,38,47,58
18,square,37,44,65
19,circle,72,51,30
20,line,20,42,74
21,star,63,65,71
22,square,59,64,75
23,square,48,59,78
24,circle,41,58,85
25,polygon,94,62,42
26,line,82,81,78
27,polygon,71,85,91
28,line,96,81,68
29,polygon,100,76,62
30,circle,100,79,53
31,circle,94,91,86
32,line,100,91,83
33,star,100,79,74
34,line,69,81,100
35,square,100,82,66
36,line,9,12,13
37,circle,18,11,2
38,line,1,13,23
39,star,34,18,1
40,polygon,1,14,36
41,polygon,20,16,14
42,line,9,19,25
43,star,33,20,3
44,circle,37,27,1
45,square,1,21,47
46,star,37,35,31
47,polygon,40,31,24
48,star,49,34,17
49,star,58,33,14
50,line,64,47,10
51,polygon,55,55,51
52,polygon,38,49,58
53,square,66,44,34
54,circle,31,42,71
55,line,21,50,77
56,circle,66,59,60
57,circle,53,62,71
58,line,83,62,53
59,polygon,46,68,90
60,polygon,89,67,35
61,circle,80,76,74
62,square,92,83,74
63,star,97,77,65
64,star,56,75,98
65,star,100,66,49
66,circle,84,87,90
67,line,99,91,83
68,circle,100,86,76
69,circle,67,72,100
70,polygon,61,75,100
71,line,5,8,11
72,square,1,11,18
73,line,25,15,1
74,square,1,17,33
75,star,33,22,1
76,star,21,24,25
77,circle,25,17,9
78,star,4,20,32
79,line,39,25,1
80,circle,1,27,49
81,square,34,35,38
82,star,48,40,28
83,star,16,33,48
84,square,58,36,16
85,polygon,61,36,9
86,star,50,50,44
87,square,40,44,58
88,polygon,34,49,62
89,line,29,47,71
90,polygon,26,46,78
91,square,69,65,63
92,circle,56,64,74
93,star,78,62,48
94,square,86,57,44
95,square,93,62,39
96,circle,85,84,81
97,square,89,81,73
98,line,65,82,97
99,polygon,100,76,63
100,circle,50,73,100
