index,glyph_type,sizeA,sizeB,sizeC
1,line,43,1,70
2,line,48,1,25
3,star,44,1,90
4,square,72,1,34
5,line,89,1,79
6,polygon,34,1,2
7,line,31,1,11
8,circle,84,1,40
9,circle,61,1,32
10,circle,6,1,40
11,polygon,88,1,69
12,circle,20,1,30
13,line,43,1,91
14,line,47,1,91
15,line,83,1,53
16,circle,50,1,6
17,circle,29,1,8
18,polygon,14,1,54
19,star,10,1,30
20,line,17,1,57
21,square,32,1,69
22,square,40,1,24
23,circle,51,1,97
24,polygon,94,1,81
25,circle,69,1,40
26,square,26,1,9
27,polygon,5,1,25
28,polygon,25,1,51
29,square,63,1,36
30,circle,30,1,51
31,square,60,1,92
32,star,88,1,65
33,circle,32,1,78
34,square,38,1,10
35,circle,44,1,34
36,polygon,56,1,19
37,square,9,1,35
38,line,41,1,15
39,polygon,77,1,65
40,square,51,1,35
41,line,18,1,41
42,star,44,1,63
43,circle,32,1,3
44,star,4,1,49
45,line,61,1,12
46,polygon,57,1,9
47,polygon,2,1,31
48,circle,93,1,62
49,line,95,1,51
50,square,49,1,66
51,circle,5,1,18
52,square,98,1,66
53,polygon,51,1,24
54,star,23,1,37
55,square,5,1,17
56,star,57,1,67
57,circle,36,1,58
58,square,9,1,50
59,square,97,1,73
60,polygon,95,1,69
61,square,77,1,45
62,circle,38,1,51
63,star,48,1,77
64,star,41,1,5
65,line,52,1,66
66,star,91,1,41
67,star,41,1,22
68,polygon,56,1,77
69,line,31,1,74
70,star,61,1,14
71,polygon,78,1,32
72,square,60,1,92
73,polygon,67,1,41
74,line,19,1,55
75,polygon,29,1,8
76,circle,27,1,3
77,star,34,1,46
78,square,31,1,61
79,line,5,1,30
80,circle,50,1,90
81,line,80,1,66
82,line,32,1,43
83,polygon,80,1,37
84,star,35,1,64
85,polygon,70,1,83
86,square,71,1,84
87,star,7,1,48
88,circle,47,1,12
89,star,38,1,8
90,square,41,1,5
91,square,37,1,66
92,polygon,30,1,55
93,line,33,1,15
94,line,62,1,19
95,star,93,1,55
96,star,10,1,26
97,circle,59,1,84
98,star,47,1,22
99,polygon,80,1,95
100,star,90,1,72
