index,glyph_type,sizeA,sizeB,sizeC
1,circular_progressbar,15,33,61
2,flower,85,78,71
3,sun,26,12,1
4,circular_progressbar,80,61,31
5,beer,40,48,58
6,flower,70,56,39
7,beer,80,57,37
8,circular_progressbar,66,55,42
9,flower,49,57,60
10,sun,37,16,3
11,sun,74,69,47
12,tree_growth,13,16,31
13,sun,8,17,21
14,beer,2,17,30
15,beer,61,48,40
16,sun,78,68,55
17,tree_growth,46,37,29
18,circular_progressbar,31,25,20
19,flower,36,65,84
20,circular_progressbar,59,43,30
21,sun,63,34,14
22,flower,24,20,7
23,circular_progressbar,1,18,33
24,beer,74,58,50
25,sun,89,76,46
26,flower,72,62,42
27,circular_progressbar,20,16,9
28,tree_growth,58,42,33
29,tree_growth,3,22,32
30,tree_growth,47,70,89
31,circular_progressbar,12,34,58
32,flower,62,76,92
33,beer,55,32,11
34,beer,38,25,11
35,circular_progressbar,5,29,55
36,tree_growth,18,14,2
37,sun,9,21,31
38,tree_growth,7,20,35
39,beer,43,30,14
40,flower,26,44,54
41,flower,87,72,50
42,tree_growth,86,67,49
43,beer,85,58,35
44,sun,31,12,1
45,circular_progressbar,64,56,49
46,flower,2,23,35
47,beer,70,55,31
48,tree_growth,47,31,17
49,sun,32,16,2
50,tree_growth,62,75,92
