index,glyph_type,sizeA,sizeB,sizeC
1,line,26,44,71
2,line,47,61,80
3,star,1,40,66
4,circle,24,34,56
5,star,5,5,4
6,square,88,47,18
7,circle,76,80,90
8,square,19,14,10
9,square,13,8,2
10,square,41,30,17
11,star,31,42,49
12,circle,59,46,34
13,square,37,37,38
14,circle,52,56,60
15,polygon,29,62,89
16,line,77,36,2
17,square,17,36,62
18,line,74,42,19
19,polygon,52,34,17
20,line,32,23,11
21,polygon,45,65,91
22,square,95,93,93
23,polygon,63,79,96
24,polygon,82,63,46
25,polygon,45,61,80
26,line,7,30,40
27,star,99,62,26
28,circle,18,35,56
29,circle,13,60,100
30,star,77,58,31
31,line,73,74,75
32,line,42,55,87
33,circle,40,33,28
34,line,1,9,17
35,polygon,35,43,50
36,polygon,21,26,38
37,square,48,36,28
38,polygon,50,66,85
39,square,87,53,30
40,square,9,47,99
41,polygon,20,48,71
42,circle,19,34,52
43,circle,12,47,72
44,line,30,23,17
45,line,35,20,2
46,circle,65,36,17
47,square,46,52,74
48,square,82,39,8
49,circle,86,68,62
50,line,8,46,79
51,circle,41,50,74
52,square,30,36,49
53,line,71,77,84
54,polygon,63,63,76
55,polygon,64,85,96
56,star,51,63,70
57,star,30,46,63
58,polygon,65,57,25
59,square,54,56,62
60,line,88,91,92
61,star,38,39,39
62,star,25,15,1
63,polygon,79,71,69
64,star,11,25,36
65,square,28,36,50
66,circle,30,47,67
67,circle,23,29,37
68,polygon,71,81,97
69,star,16,52,61
70,square,97,41,3
71,polygon,52,45,18
72,circle,79,40,19
73,star,21,44,90
74,polygon,86,70,54
75,circle,80,82,91
76,polygon,55,56,67
77,star,22,16,4
78,circle,48,25,2
79,star,28,50,97
80,star,4,37,75
81,line,88,48,3
82,line,25,49,70
83,square,64,50,46
84,circle,95,83,77
85,line,49,59,80
86,star,36,24,1
87,line,2,26,53
88,circle,38,30,26
89,polygon,99,66,13
90,line,71,44,7
91,square,14,20,25
92,line,43,51,82
93,star,36,42,49
94,star,83,63,51
95,polygon,9,27,41
96,star,25,19,12
97,square,37,23,10
98,square,43,29,9
99,star,56,34,10
100,circle,70,74,90
