glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum,n_points_in,avg_unsigned,avg_signed
beer,linear,1.454,0.184,75,0.01939,0.00245
beer,gamma,1.437,0.029,75,0.01916,0.00039
beer,poly3c,1.425,0.172,75,0.01900,0.00230
circle,linear,1.424,0.314,64,0.02225,0.00491
circle,gamma,1.415,0.277,64,0.02212,0.00432
circle,poly3c,1.411,0.047,64,0.02205,0.00073
circular_progressbar,linear,1.313,0.356,76,0.01728,0.00469
circular_progressbar,gamma,1.258,0.027,76,0.01655,0.00036
circular_progressbar,poly3c,1.223,-0.050,76,0.01609,-0.00066
flower,linear,1.793,-0.822,76,0.02359,-0.01081
flower,gamma,1.548,-0.063,76,0.02037,-0.00083
flower,poly3c,1.462,0.074,76,0.01923,0.00098
line,linear,1.623,0.017,65,0.02496,0.00027
line,gamma,1.616,-0.081,65,0.02486,-0.00124
line,poly3c,1.596,-0.267,65,0.02456,-0.00411
polygon,linear,2.382,0.430,73,0.03263,0.00589
polygon,gamma,2.421,0.900,73,0.03317,0.01233
polygon,poly3c,2.576,0.501,73,0.03529,0.00686
square,linear,0.994,0.261,57,0.01743,0.00458
square,gamma,0.954,0.103,57,0.01674,0.00180
square,poly3c,0.968,0.072,57,0.01699,0.00126
star,linear,1.564,-0.078,71,0.02203,-0.00110
star,gamma,1.592,0.360,71,0.02242,0.00507
star,poly3c,1.483,0.003,71,0.02089,0.00004
sun,linear,2.302,0.038,74,0.03111,0.00051
sun,gamma,1.876,-0.505,74,0.02535,-0.00683
sun,poly3c,1.533,0.057,74,0.02071,0.00077
tree_growth,linear,2.487,-1.410,76,0.03272,-0.01855
tree_growth,gamma,2.353,-0.280,76,0.03096,-0.00368
tree_growth,poly3c,2.230,0.074,76,0.02934,0.00098
