glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum,n_points_in,avg_unsigned,avg_signed
beer,linear,1.454,0.184,75,0.01939,0.00245
beer,gamma,1.437,0.149,75,0.01916,0.00198
beer,poly3c,1.432,0.065,75,0.01909,0.00087
circle,linear,1.424,0.314,64,0.02225,0.00491
circle,gamma,1.407,0.172,64,0.02198,0.00269
circle,poly3c,1.355,-0.048,64,0.02117,-0.00075
circular_progressbar,linear,1.313,0.356,76,0.01728,0.00469
circular_progressbar,gamma,1.278,-0.214,76,0.01682,-0.00282
circular_progressbar,poly3c,1.263,-0.270,76,0.01661,-0.00355
flower,linear,1.793,-0.822,76,0.02359,-0.01081
flower,gamma,1.557,-0.157,76,0.02049,-0.00207
flower,poly3c,1.495,-0.075,76,0.01966,-0.00099
line,linear,1.623,0.017,65,0.02496,0.00027
line,gamma,1.627,0.042,65,0.02504,0.00065
line,poly3c,1.636,-0.246,65,0.02517,-0.00378
polygon,linear,2.382,0.430,73,0.03263,0.00589
polygon,gamma,2.394,0.662,73,0.03279,0.00907
polygon,poly3c,2.571,0.525,73,0.03522,0.00720
square,linear,0.994,0.261,57,0.01743,0.00458
square,gamma,0.962,0.137,57,0.01688,0.00240
square,poly3c,0.984,0.115,57,0.01727,0.00203
star,linear,1.564,-0.078,71,0.02203,-0.00110
star,gamma,1.589,0.337,71,0.02238,0.00474
star,poly3c,1.515,0.194,71,0.02134,0.00273
sun,linear,2.302,0.038,74,0.03111,0.00051
sun,gamma,1.966,-0.333,74,0.02657,-0.00450
sun,poly3c,1.476,0.144,74,0.01994,0.00195
tree_growth,linear,2.487,-1.410,76,0.03272,-0.01855
tree_growth,gamma,2.360,0.072,76,0.03106,0.00095
tree_growth,poly3c,2.235,0.350,76,0.02941,0.00461
