glyph_type,model,unsigned_euclidean_sum,signed_euclidean_sum,n_points_all,avg_unsigned,avg_signed
beer,linear,1.738,0.338,79,0.02200,0.00428
beer,gamma,1.708,0.031,79,0.02162,0.00039
beer,poly3c,1.704,0.205,79,0.02158,0.00260
circle,linear,1.692,0.463,68,0.02488,0.00681
circle,gamma,1.661,0.311,68,0.02443,0.00458
circle,poly3c,1.625,0.101,68,0.02390,0.00148
circular_progressbar,linear,1.707,0.750,80,0.02133,0.00937
circular_progressbar,gamma,1.599,-0.013,80,0.01998,-0.00016
circular_progressbar,poly3c,1.575,-0.078,80,0.01969,-0.00097
flower,linear,2.081,-1.110,80,0.02601,-0.01388
flower,gamma,1.882,-0.123,80,0.02352,-0.00154
flower,poly3c,1.820,-0.027,80,0.02276,-0.00034
line,linear,1.975,0.083,69,0.02863,0.00120
line,gamma,1.979,0.113,69,0.02868,0.00164
line,poly3c,1.967,-0.208,69,0.02851,-0.00301
polygon,linear,2.861,0.431,77,0.03715,0.00559
polygon,gamma,2.901,0.936,77,0.03767,0.01215
polygon,poly3c,3.103,0.557,77,0.04030,0.00723
square,linear,1.227,0.335,60,0.02045,0.00559
square,gamma,1.192,0.204,60,0.01987,0.00339
square,poly3c,1.222,0.181,60,0.02036,0.00301
star,linear,1.942,-0.456,75,0.02590,-0.00608
star,gamma,1.939,0.459,75,0.02585,0.00612
star,poly3c,1.857,-0.027,75,0.02476,-0.00036
sun,linear,2.686,-0.166,78,0.03444,-0.00213
sun,gamma,2.311,-0.678,78,0.02963,-0.00869
sun,poly3c,1.709,-0.089,78,0.02191,-0.00114
tree_growth,linear,3.105,-2.029,80,0.03882,-0.02536
tree_growth,gamma,2.972,-0.539,80,0.03715,-0.00674
tree_growth,poly3c,2.739,0.079,80,0.03423,0.00099
