index,glyph_type,sizeA,sizeB,sizeC
1,star,40,31.948449537821944,18
2,star,31,41.051793655924484,53
3,star,60,40.250084594708824,20
4,star,59,48.13980009844272,34
5,star,96,87.17619968970212,82
6,star,60,50.473557269879166,42
7,star,32,21.731186038186934,5
8,star,33,44.22535797425553,65
9,star,57,63.04422950611297,75
10,star,2,23.72284306088659,33
11,star,78,79.67527686228095,90
12,star,23,37.81961642957867,58
13,star,7,36.999771420187244,51
14,star,80,81.6903869959333,92
15,star,53,64.66515972574598,75
16,star,71,55.13966816301945,38
17,star,26,42.644599159712016,63
18,star,38,44.22535797425553,54
19,star,41,55.13966816301945,72
20,star,47,35.84588020407864,29
21,star,65,45.01196734513542,23
22,star,68,58.271408781138234,49
23,star,65,61.44007469888493,53
24,star,6,11.337263129962594,18
25,star,1,20.704199534293366,30
26,star,93,64.66515972574598,43
27,star,7,29.31342124115872,46
28,star,26,31.079665902461784,36
29,star,76,84.89035191792027,89
30,star,2,16.330917978257276,22
31,star,56,52.02745985566253,45
32,star,12,34.50535611941632,57
33,star,7,19.6535417927862,29
34,star,34,47.36009323455619,62
35,star,51,72.25634668143357,99
36,star,57,70.51707798677853,92
37,star,39,58.271408781138234,81
38,star,14,32.80858743123645,55
39,star,17,46.579062424689255,66
40,star,3,22.736750555350227,33
41,star,23,38.634359112120364,51
42,star,43,29.31342124115872,9
43,star,79,74.03461925891861,67
44,star,44,27.50373310559553,8
45,star,16,31.948449537821944,41
46,star,61,76.78963290186402,91
47,star,33,23.72284306088659,1
48,star,58,36.999771420187244,12
49,star,6,24.309659086020474,31
50,star,73,79.67527686228095,92
1,star,47,52.02745985566253,61
2,star,64,65.48283912957231,76
3,star,33,17.470275506047983,1
4,star,27,20.704199534293366,13
5,star,75,57.48571824510691,37
6,star,13,22.736750555350227,30
7,star,3,19.6535417927862,29
8,star,7,22.736750555350227,33
9,star,2,22.736750555350227,33
10,star,47,51.250534547898496,57
11,star,18,25.267992979615883,31
12,star,74,79.67527686228095,84
13,star,84,59.84997110213044,37
14,star,63,67.13465100033318,82
15,star,50,63.04422950611297,93
16,star,2,23.72284306088659,33
17,star,19,25.643227672799185,29
18,star,48,53.58215765204477,62
19,star,58,59.05939710833081,70
20,star,38,31.948449537821944,22
1,star,78,75.8583466239088,67
2,star,83,65.48283912957231,38
3,star,55,61.44007469888493,87
4,star,9,34.50535611941632,55
5,star,19,11.337263129962594,2
6,star,42,52.80458380561868,56
7,star,12,21.731186038186934,26
8,star,49,47.36009323455619,39
9,star,8,28.41443478559995,35
10,star,3,22.736750555350227,32
