index,glyph_type,sizeA,sizeB,sizeC
1,star,47,52.02745985566253,61
2,star,64,65.48283912957231,76
3,star,33,17.470275506047983,1
4,star,27,20.704199534293366,13
5,star,75,57.48571824510691,37
6,star,13,22.736750555350227,30
7,star,3,19.6535417927862,29
8,star,7,22.736750555350227,33
9,star,2,22.736750555350227,33
10,star,47,51.250534547898496,57
11,star,18,25.267992979615883,31
12,star,74,79.67527686228095,84
13,star,84,59.84997110213044,37
14,star,63,67.13465100033318,82
15,star,50,63.04422950611297,93
16,star,2,23.72284306088659,33
17,star,19,25.643227672799185,29
18,star,48,53.58215765204477,62
19,star,58,59.05939710833081,70
20,star,38,31.948449537821944,22
