index,glyph_type,sizeA,sizeB,sizeC
1,tree_growth_gamma,76,73,64
2,tree_growth_gamma,8,6,1
3,tree_growth_gamma,11,28,37
4,tree_growth_gamma,85,68,63
5,tree_growth_gamma,42,63,70
6,tree_growth_gamma,6,4,1
7,tree_growth_gamma,13,8,3
8,tree_growth_gamma,1,2,2
9,tree_growth_gamma,46,30,10
10,tree_growth_gamma,47,62,71
11,tree_growth_gamma,98,89,79
12,tree_growth_gamma,13,19,26
13,tree_growth_gamma,33,41,54
14,tree_growth_gamma,65,57,46
15,tree_growth_gamma,100,97,95
16,tree_growth_gamma,42,27,3
17,tree_growth_gamma,44,63,82
18,tree_growth_gamma,52,40,30
19,tree_growth_gamma,83,76,69
20,tree_growth_gamma,13,22,34
