index,glyph_type,sizeA,sizeB,sizeC
3,star,1,40,66
5,star,5,5,4
11,star,31,42,49
27,star,99,62,26
30,star,77,58,31
56,star,51,63,70
57,star,30,46,63
61,star,38,39,39
62,star,25,15,1
64,star,11,25,36
69,star,16,52,61
73,star,21,44,90
77,star,22,16,4
79,star,28,50,97
80,star,4,37,75
86,star,36,24,1
93,star,36,42,49
94,star,83,63,51
96,star,25,19,12
99,star,56,34,10
1,star,17,14,9
8,star,16,32,38
14,star,57,38,19
21,star,54,57,62
33,star,100,92,80
39,star,26,16,1
43,star,39,28,17
46,star,35,35,39
48,star,53,43,31
49,star,25,43,64
63,star,79,69,60
64,star,48,64,89
65,star,39,59,100
75,star,1,25,37
76,star,34,33,29
78,star,41,32,22
82,star,34,37,42
83,star,31,39,49
86,star,55,50,49
93,star,52,60,73
