index,glyph_type,sizeA,sizeB,sizeC
1,sun_cc,28,45,59
2,sun_cc,50,34,22
3,sun_cc,70,49,20
4,sun_cc,66,60,54
5,sun_cc,49,63,80
6,sun_cc,55,62,71
7,sun_cc,26,15,2
8,sun_cc,6,18,25
9,sun_cc,99,92,86
10,sun_cc,23,39,58
11,sun_cc,53,43,26
12,sun_cc,6,3,1
13,sun_cc,95,98,100
14,sun_cc,54,65,82
15,sun_cc,1,3,5
16,sun_cc,79,59,37
17,sun_cc,78,71,66
18,sun_cc,36,52,78
19,sun_cc,84,77,72
20,sun_cc,32,18,4
21,sun_cc,65,29,15
22,sun_cc,64,52,39
23,sun_cc,6,3,1
24,sun_cc,37,26,21
25,sun_cc,95,90,81
26,sun_cc,52,40,26
27,sun_cc,100,98,95
28,sun_cc,31,16,2
29,sun_cc,5,3,1
30,sun_cc,92,71,54
31,sun_cc,74,82,98
32,sun_cc,98,82,67
33,sun_cc,2,15,23
34,sun_cc,15,10,1
35,sun_cc,49,61,77
36,sun_cc,31,46,61
37,sun_cc,25,46,65
38,sun_cc,56,47,33
39,sun_cc,87,67,44
40,sun_cc,29,50,72
41,sun_cc,99,100,100
42,sun_cc,3,10,14
43,sun_cc,70,52,26
44,sun_cc,19,34,59
45,sun_cc,81,70,57
46,sun_cc,23,46,71
47,sun_cc,47,20,3
48,sun_cc,53,61,74
49,sun_cc,89,74,58
50,sun_cc,65,72,84
51,sun_cc,54,68,96
52,sun_cc,7,17,21
53,sun_cc,58,45,23
54,sun_cc,89,70,50
55,sun_cc,91,83,77
56,sun_cc,18,21,28
57,sun_cc,58,70,97
58,sun_cc,87,68,43
59,sun_cc,54,63,75
60,sun_cc,100,99,98
61,sun_cc,41,46,52
62,sun_cc,57,46,35
63,sun_cc,1,17,23
64,sun_cc,100,95,93
65,sun_cc,36,28,22
66,sun_cc,1,2,3
67,sun_cc,18,13,6
68,sun_cc,100,97,94
69,sun_cc,10,20,38
70,sun_cc,79,73,68
71,sun_cc,47,26,15
72,sun_cc,64,74,87
73,sun_cc,3,17,24
74,sun_cc,19,23,31
75,sun_cc,52,31,21
76,sun_cc,45,22,9
77,sun_cc,62,74,98
78,sun_cc,59,68,85
79,sun_cc,51,19,2
80,sun_cc,1,18,32
81,sun_cc,60,67,79
82,sun_cc,91,84,80
83,sun_cc,39,52,74
84,sun_cc,70,55,42
85,sun_cc,25,20,14
86,sun_cc,54,57,65
87,sun_cc,69,78,91
88,sun_cc,34,17,7
89,sun_cc,48,28,19
90,sun_cc,35,21,13
91,sun_cc,92,73,55
92,sun_cc,45,19,11
93,sun_cc,49,42,29
94,sun_cc,51,41,28
95,sun_cc,55,67,85
96,sun_cc,3,9,13
97,sun_cc,6,20,55
98,sun_cc,80,70,61
99,sun_cc,75,56,40
100,sun_cc,100,94,92
