index,glyph_type,sizeA,sizeB,sizeC
1,sun_cc,18,35,65
2,sun_cc,70,39,20
3,sun_cc,48,57,67
4,sun_cc,96,92,85
5,sun_cc,12,21,36
6,sun_cc,20,24,35
7,sun_cc,18,14,8
8,sun_cc,22,25,33
9,sun_cc,3,13,18
10,sun_cc,90,72,48
11,sun_cc,48,39,33
12,sun_cc,27,33,41
13,sun_cc,12,21,39
14,sun_cc,1,2,3
15,sun_cc,4,11,15
16,sun_cc,71,55,36
17,sun_cc,77,84,93
18,sun_cc,24,17,11
19,sun_cc,59,43,26
20,sun_cc,9,20,28
21,sun_cc,73,86,99
22,sun_cc,28,39,51
23,sun_cc,13,20,33
24,sun_cc,28,20,9
25,sun_cc,57,51,38
26,sun_cc,81,67,52
27,sun_cc,87,82,75
28,sun_cc,37,49,61
29,sun_cc,99,75,51
30,sun_cc,26,15,3
31,sun_cc,26,18,12
32,sun_cc,54,60,68
33,sun_cc,76,59,36
34,sun_cc,99,92,84
35,sun_cc,14,26,52
36,sun_cc,80,86,92
37,sun_cc,31,42,55
38,sun_cc,100,97,93
39,sun_cc,1,14,18
40,sun_cc,31,38,49
41,sun_cc,74,84,95
42,sun_cc,65,77,96
43,sun_cc,47,55,65
44,sun_cc,35,57,81
45,sun_cc,21,13,1
46,sun_cc,10,24,53
47,sun_cc,68,76,87
48,sun_cc,87,81,74
49,sun_cc,23,33,58
50,sun_cc,36,59,85
