index,glyph_type,sizeA,sizeB,sizeC
1,sun_cc,72,79,94
2,sun_cc,76,84,98
3,sun_cc,39,24,15
4,sun_cc,13,19,27
5,sun_cc,50,61,70
6,sun_cc,49,25,12
7,sun_cc,40,17,3
8,sun_cc,49,56,69
9,sun_cc,100,98,95
10,sun_cc,7,14,18
11,sun_cc,85,90,100
12,sun_cc,59,74,94
13,sun_cc,6,12,16
14,sun_cc,51,66,92
15,sun_cc,56,64,76
16,sun_cc,39,34,28
17,sun_cc,70,80,91
18,sun_cc,51,67,99
19,sun_cc,79,63,46
20,sun_cc,90,72,56
21,sun_cc,56,37,23
22,sun_cc,36,42,46
23,sun_cc,17,11,6
24,sun_cc,84,78,72
25,sun_cc,4,13,19
26,sun_cc,15,31,63
27,sun_cc,78,69,58
28,sun_cc,79,64,44
29,sun_cc,69,77,90
30,sun_cc,32,14,1
31,sun_cc,33,40,47
32,sun_cc,12,24,62
33,sun_cc,2,8,12
34,sun_cc,35,27,21
35,sun_cc,75,87,100
36,sun_cc,41,17,8
37,sun_cc,60,71,87
38,sun_cc,38,21,14
39,sun_cc,95,88,80
40,sun_cc,57,44,32
41,sun_cc,86,68,50
42,sun_cc,53,16,4
43,sun_cc,61,76,100
44,sun_cc,25,40,57
45,sun_cc,63,69,77
46,sun_cc,100,96,91
47,sun_cc,93,84,76
48,sun_cc,15,11,5
49,sun_cc,68,53,36
50,sun_cc,19,27,42
