index,glyph_type,sizeA,sizeB,sizeC
1,beer,11,31,57
2,circular_progressbar,10,18,33
3,tree_growth,79,66,32
4,flower,82,67,43
5,sun,43,24,13
6,tree_growth,68,77,90
7,circular_progressbar,35,19,5
8,sun,1,16,34
9,beer,40,30,17
10,sun,35,18,9
11,beer,45,16,1
12,beer,85,90,97
13,beer,10,26,42
14,flower,11,20,33
15,circular_progressbar,69,48,30
16,circular_progressbar,72,83,93
17,sun,60,67,74
18,flower,42,53,62
19,flower,20,28,38
20,flower,83,74,62
21,flower,72,63,52
22,sun,29,16,9
23,beer,41,56,72
24,tree_growth,5,22,42
25,flower,90,64,44
26,sun,65,45,30
27,sun,87,79,57
28,circular_progressbar,4,13,22
29,tree_growth,83,78,51
30,sun,43,15,1
31,circular_progressbar,94,82,64
32,beer,42,25,10
33,tree_growth,11,21,37
34,flower,35,49,62
35,flower,10,19,27
36,beer,31,41,60
37,tree_growth,1,19,35
38,circular_progressbar,63,38,16
39,circular_progressbar,1,13,35
40,sun,37,42,53
41,flower,78,85,100
42,circular_progressbar,2,15,33
43,sun,33,42,54
44,tree_growth,98,79,62
45,tree_growth,100,82,58
46,tree_growth,56,79,93
47,tree_growth,32,45,60
48,beer,12,29,57
49,circular_progressbar,48,57,67
50,beer,77,58,37
