index,glyph_type,sizeA,sizeB,sizeC
1,sun_cc,65,28,15
2,sun_cc,64,49,38
3,sun_cc,41,19,10
4,sun_cc,83,62,45
5,sun_cc,99,100,100
6,sun_cc,64,72,80
7,sun_cc,46,55,63
8,sun_cc,20,28,40
9,sun_cc,26,43,70
10,sun_cc,25,43,66
11,sun_cc,55,67,76
12,sun_cc,97,99,100
13,sun_cc,19,13,3
14,sun_cc,43,18,7
15,sun_cc,6,21,48
16,sun_cc,62,76,92
17,sun_cc,29,17,7
18,sun_cc,19,14,8
19,sun_cc,73,60,53
20,sun_cc,54,46,38
21,sun_cc,98,94,88
22,sun_cc,4,19,36
23,sun_cc,38,17,3
24,sun_cc,83,77,72
25,sun_cc,100,97,93
26,sun_cc,45,54,68
27,sun_cc,86,75,69
28,sun_cc,70,76,84
29,sun_cc,25,34,42
30,sun_cc,88,79,76
31,sun_cc,17,11,3
32,sun_cc,56,40,23
33,sun_cc,63,77,92
34,sun_cc,1,3,6
35,sun_cc,100,90,76
36,sun_cc,96,97,100
37,sun_cc,65,31,20
38,sun_cc,53,38,29
39,sun_cc,99,92,85
40,sun_cc,58,46,34
41,sun_cc,87,63,47
42,sun_cc,60,46,31
43,sun_cc,70,57,51
44,sun_cc,51,70,92
45,sun_cc,27,19,15
46,sun_cc,11,19,27
47,sun_cc,43,62,77
48,sun_cc,25,16,3
49,sun_cc,8,19,36
50,sun_cc,99,92,85
