index,glyph_type,sizeA,sizeB,sizeC
1,beer,32,15,1
2,tree_growth,93,72,56
3,tree_growth,66,62,55
4,circular_progressbar,6,15,28
5,sun,77,72,65
6,sun,4,10,20
7,circular_progressbar,8,22,44
8,sun,97,83,62
9,beer,28,19,14
10,circular_progressbar,23,42,65
11,beer,71,55,46
12,beer,69,1,29
13,beer,4,11,22
14,tree_growth,4,29,48
15,tree_growth,70,66,23
16,sun,32,20,9
17,flower,27,34,44
18,sun,31,52,79
19,beer,55,63,88
20,sun,86,92,100
21,beer,85,74,66
22,tree_growth,46,38,32
23,sun,68,61,41
24,beer,52,37,29
25,beer,30,9,1
26,circular_progressbar,78,64,50
27,flower,8,30,46
28,tree_growth,65,45,19
29,sun,3,19,46
30,circular_progressbar,33,16,1
31,sun,11,18,26
32,flower,54,76,90
33,beer,33,11,1
34,flower,31,15,1
35,flower,95,68,47
36,sun,43,51,60
37,flower,26,12,2
38,flower,36,30,25
39,circular_progressbar,46,71,95
40,flower,30,26,19
41,circular_progressbar,64,41,17
42,flower,64,79,92
43,flower,15,32,49
44,circular_progressbar,4,11,20
45,circular_progressbar,2,26,51
46,tree_growth,20,46,59
47,tree_growth,32,17,2
48,circular_progressbar,76,68,61
49,tree_growth,3,15,22
50,tree_growth,61,76,91
