index,glyph_type,sizeA,sizeB,sizeC
1,circle,44,28,7
2,star,44,31,4
3,circle,6,16,25
4,polygon,70,73,93
5,square,12,1,22
6,circle,1,1,33
7,circle,55,1,87
8,star,96,1,79
9,square,67,1,28
10,polygon,29,1,2
11,square,9,1,28
12,square,80,1,44
13,star,78,1,31
14,star,26,1,3
15,star,8,1,22
16,square,3,1,29
17,square,31,1,20
18,square,2,1,31
19,line,14,1,42
20,star,83,1,73
21,star,27,1,7
22,circle,62,1,20
23,star,20,1,5
24,star,66,1,29
25,line,1,1,32
26,circle,28,1,76
27,circle,29,1,1
28,polygon,24,1,61
29,square,6,1,30
30,line,16,1,57
31,polygon,32,1,44
32,line,36,1,24
33,circle,1,1,28
34,polygon,82,1,32
35,star,80,1,46
36,circle,14,1,33
37,line,13,1,51
38,star,89,1,66
39,star,26,1,6
40,line,65,1,42
41,circle,72,1,48
42,circle,33,1,4
43,polygon,4,1,17
44,circle,63,1,76
45,circle,2,1,13
46,star,51,1,66
47,circle,1,1,31
48,star,29,1,1
49,polygon,33,1,9
50,square,22,1,49
51,square,10,1,33
52,circle,31,1,12
53,square,32,1,12
54,square,36,1,64
55,square,14,1,61
56,polygon,27,1,13
57,square,88,1,55
58,square,58,1,35
59,polygon,67,1,38
60,square,56,1,37
61,polygon,75,1,100
62,polygon,99,1,75
63,polygon,50,1,39
64,polygon,13,1,23
65,square,65,1,26
66,square,54,1,43
67,line,33,1,4
68,line,28,1,11
69,circle,22,1,9
70,star,11,1,23
71,line,55,1,20
72,line,33,1,13
73,star,35,1,6
74,line,30,1,59
75,line,51,1,98
76,polygon,4,1,27
77,line,66,1,24
78,line,33,1,1
79,polygon,14,1,37
80,polygon,81,1,67
81,circle,48,1,59
82,line,29,1,1
83,star,28,1,1
84,line,33,1,72
85,polygon,83,1,99
86,polygon,5,1,30
87,star,8,1,41
88,circle,4,1,50
89,star,62,1,48
90,line,31,1,69
91,circle,7,1,26
92,square,37,1,17
93,polygon,43,1,1
94,line,32,1,3
95,circle,5,1,31
96,line,26,1,15
97,line,28,1,10
98,square,65,1,54
99,polygon,74,1,92
100,star,4,1,30
