index,glyph_type,sizeA,sizeB,sizeC
1,circular_progressbar,85,64,43
2,beer,68,83,98
3,tree_growth,71,67,53
4,tree_growth,54,38,13
5,sun,21,30,36
6,flower,49,66,96
7,tree_growth,27,17,12
8,beer,39,51,59
9,circular_progressbar,50,63,69
10,tree_growth,85,74,55
11,circular_progressbar,55,35,14
12,flower,31,23,11
13,beer,79,85,94
14,circular_progressbar,20,12,5
15,flower,78,70,62
16,sun,47,16,3
17,flower,89,80,67
18,beer,37,30,18
19,tree_growth,18,43,67
20,beer,26,38,58
21,tree_growth,59,49,34
22,sun,40,18,8
23,sun,29,36,52
24,flower,35,19,4
25,flower,34,20,2
26,circular_progressbar,12,24,31
27,circular_progressbar,28,48,71
28,flower,50,70,85
29,sun,12,29,58
30,beer,94,72,59
31,beer,69,56,42
32,beer,70,79,89
33,beer,65,40,15
34,sun,90,83,71
35,sun,20,28,32
36,sun,4,13,18
37,circular_progressbar,68,56,45
38,tree_growth,63,79,96
39,circular_progressbar,64,81,98
40,circular_progressbar,58,66,76
41,flower,30,25,20
42,beer,35,21,1
43,sun,41,27,21
44,flower,9,23,34
45,tree_growth,17,12,6
46,flower,3,20,23
47,circular_progressbar,71,53,40
48,tree_growth,87,79,41
49,tree_growth,1,27,35
50,sun,84,77,68
