index,glyph_type,sizeA,sizeB,sizeC
1,star,91,84,79
2,star,23,67,100
3,line,43,63,89
4,circle,8,13,15
5,circle,22,54,73
6,line,51,39,30
7,circle,21,46,77
8,circle,54,35,19
9,circle,37,40,43
10,polygon,92,73,43
11,polygon,65,69,91
12,circle,66,81,90
13,circle,76,68,61
14,square,81,59,33
15,line,84,57,22
16,square,35,30,20
17,star,88,79,73
18,circle,10,40,81
19,star,64,51,41
20,square,69,39,14
21,star,92,96,97
22,circle,54,66,80
23,square,56,36,15
24,circle,33,52,70
25,square,27,33,43
26,polygon,77,37,11
27,square,49,58,78
28,line,3,3,4
29,square,17,51,65
30,line,18,44,67
31,circle,21,41,57
32,star,27,52,77
33,star,14,37,60
34,line,38,26,13
35,square,44,51,61
36,line,66,54,46
37,star,45,49,47
38,line,89,63,41
39,circle,17,22,29
40,polygon,69,52,20
41,line,90,79,70
42,square,30,50,73
43,polygon,1,4,8
44,square,13,15,16
45,square,79,74,72
46,line,47,59,93
47,line,14,52,76
48,star,86,78,68
49,star,87,78,62
50,circle,93,96,97
51,circle,58,53,43
52,star,97,66,36
53,circle,90,50,9
54,polygon,19,38,57
55,line,98,60,5
56,line,50,62,79
57,polygon,18,40,77
58,star,80,65,52
59,star,21,39,51
60,square,75,68,81
61,star,55,63,67
62,circle,99,87,77
63,line,42,52,66
64,line,55,71,96
65,polygon,63,63,67
66,polygon,36,60,97
67,polygon,87,86,89
68,star,70,65,53
69,line,75,1,48
70,polygon,79,67,69
71,line,71,53,35
72,circle,9,25,29
73,star,48,36,22
74,line,82,72,66
75,circle,9,49,65
76,star,86,85,77
77,polygon,65,53,38
78,circle,5,29,48
79,star,56,31,3
80,star,94,41,9
81,line,76,60,35
82,line,67,45,7
83,polygon,33,34,34
84,square,45,34,20
85,line,84,72,57
86,polygon,61,55,49
87,line,21,17,12
88,circle,97,55,20
89,line,55,32,11
90,line,23,37,62
91,star,93,92,95
92,square,12,18,25
93,star,57,74,96
94,line,22,51,95
95,polygon,67,36,7
96,square,72,69,59
97,square,98,51,9
98,star,24,32,38
99,line,33,24,14
100,square,20,38,68
